!def(APCMAIN),apc_write_temperature,additon,Function,2
!def(APCMAIN),volt_ds_def,exclusion,Variable,2
!def(APCMAIN),apc_write_timeleft,additon,Function,2
!def(APCMAIN),volt_ds_num,exclusion,Variable,2
!def(APCMAIN),apc_write_percent,additon,Function,2
True,submit,additon,Function,2
True,rrd_update_file,additon,Function,2
!def(APCMAIN),apc_bvolt_write,exclusion,Function,2
True,host,exclusion,Variable,2
!def(APCMAIN),apc_charge_write,exclusion,Function,2
!def(APCMAIN),apcups_read,specifier,Function,2
!def(APCMAIN),load_file_template,additon,Variable,2
!def(APCMAIN),apc_write_frequency,additon,Function,2
!def(APCMAIN),apc_time_write,exclusion,Function,2
!def(APCMAIN),apc_load_write,exclusion,Function,2
!def(APCMAIN),apc_write_charge,additon,Function,2
!def(APCMAIN),charge_file_template,additon,Variable,2
!def(APCMAIN),time_file_template,additon,Variable,2
!def(APCMAIN),apcups_write,exclusion,Function,2
!def(APCMAIN),apc_temp_write,exclusion,Function,2
!def(APCMAIN),apc_write_voltage,additon,Function,2
!def(APCMAIN),temp_file_template,additon,Variable,2
!def(APCMAIN),apc_freq_write,exclusion,Function,2
