!def(CURL_DISABLE_HTTP),(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP))
!def(CURL_DISABLE_FTP),True
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
True,def(CURLRES_SYNCH)
True,def(__AMIGA__)
True,!def(CURL_DISABLE_HTTP)
True,def(CURL_DOES_CONVERSIONS)
def(CURL_DISABLE_HTTP),True
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),True
def(DEBUGBUILD),True
True,!def(HAVE_MEMRCHR)
def(CURLDEBUG),True
!def(DEBUGBUILD),True
def(CURLRES_IPV6),True
!def(CURL_DISABLE_HTTP),True
!def(CURL_DISABLE_DICT),True
