!def(CURL_DISABLE_HTTP),(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP))
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
def(CURLRES_IPV6),True
True,!def(CURL_DISABLE_HTTP)
True,def(__AMIGA__)
def(CURLDEBUG),True
def(CURL_DISABLE_HTTP),True
!def(CURL_DISABLE_DICT),True
!def(CURL_DISABLE_HTTP),True
!def(DEBUGBUILD),True
def(DEBUGBUILD),True
True,def(CURLRES_SYNCH)
True,def(CURL_DOES_CONVERSIONS)
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),True
!def(CURL_DISABLE_FTP),True
True,!def(HAVE_MEMRCHR)
!def(HAVE_INET_NTOP),True
