!def(DEBUGBUILD),True
!def(CURL_DISABLE_HTTP),(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP))
def(DEBUGBUILD),True
True,def(CURL_DOES_CONVERSIONS)
!def(HAVE_INET_NTOP),True
(def(HAVE_FDOPEN)&def(CURLDEBUG)),def(CURLDEBUG)
!def(CURL_DISABLE_DICT),True
True,def(__riscos__)
True,!def(HAVE_INET_NTOP)
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),True
True,def(CURLRES_SYNCH)
def(__riscos__),def(CURLDEBUG)
True,def(__AMIGA__)
!def(CURL_DISABLE_HTTP),True
!def(CURL_DISABLE_RTSP),True
True,!def(HAVE_MEMRCHR)
True,!def(CURL_DISABLE_HTTP)
def(CURL_DISABLE_HTTP),True
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
!def(CURL_DISABLE_FTP),True
def(CURLDEBUG),True
