!def(CURL_DISABLE_HTTP),True
!def(DEBUGBUILD),True
!def(CURL_DISABLE_FTP),True
!def(CURL_DISABLE_HTTP),(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP))
True,def(__riscos__)
def(__riscos__),def(CURLDEBUG)
True,def(CURL_DOES_CONVERSIONS)
True,def(CURLRES_SYNCH)
(def(HAVE_FDOPEN)&def(CURLDEBUG)),def(CURLDEBUG)
def(DEBUGBUILD),True
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
!def(CURL_DISABLE_DICT),True
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),True
True,def(__AMIGA__)
!def(CURL_DISABLE_RTSP),True
def(CURL_DISABLE_HTTP),True
True,!def(HAVE_MEMRCHR)
def(CURLDEBUG),True
