(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
!def(CURL_DISABLE_HTTP),(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP))
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),True
def(DEBUGBUILD),True
True,def(__riscos__)
def(CURLDEBUG),True
!def(CURL_DISABLE_FTP),True
!def(CURL_DISABLE_DICT),True
True,def(CURL_DOES_CONVERSIONS)
def(CURL_DISABLE_HTTP),True
!def(DEBUGBUILD),True
True,def(CURLRES_SYNCH)
(def(HAVE_FDOPEN)&def(CURLDEBUG)),def(CURLDEBUG)
True,!def(HAVE_MEMRCHR)
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
(def(_LDAP_PVT_H)&!def(USE_SSL)),True
!def(CURL_DISABLE_HTTP),True
True,def(__AMIGA__)
!def(CURL_DISABLE_RTSP),True
def(__riscos__),def(CURLDEBUG)
