!def(CURL_DISABLE_FTP),True
!def(CURL_DISABLE_RTSP),True
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
def(CURL_DISABLE_HTTP),True
True,def(CURL_DOES_CONVERSIONS)
def(CURLDEBUG),True
def(DEBUGBUILD),True
True,def(__AMIGA__)
True,!def(HAVE_MEMRCHR)
!def(CURL_DISABLE_GOPHER),True
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),!def(CURL_DISABLE_HTTP)
(def(_LDAP_PVT_H)&!def(USE_SSL)),True
True,def(CURLRES_SYNCH)
!def(DEBUGBUILD),True
(def(HAVE_FDOPEN)&def(CURLDEBUG)),def(CURLDEBUG)
def(__riscos__),def(CURLDEBUG)
True,def(__riscos__)
!def(CURL_DISABLE_HTTP),True
!def(CURL_DISABLE_DICT),True
!def(CURL_DISABLE_HTTP),(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP))
(def(HAVE_SPNEGO)&!def(CURL_DISABLE_HTTP)),True
