!def(USE_SSLEAY),True
!def(HAVE_GETTIMEOFDAY),(def(WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(WIN32)))
!def(WIN32),True
!def(IOCTL_3_ARGS),True
def(DPRINTF_DEBUG),True
(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
True,!def(IOCTL_3_ARGS)
(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),(def(HAVE_FIONBIO)&(!def(HAVE_STDLIB_H)|def(WIN32)))
True,def(USE_SSLEAY)
def(HAVE_GETTIMEOFDAY),(def(WIN32)&!def(HAVE_GETTIMEOFDAY)&(def(HAVE_GETTIMEOFDAY)|def(WIN32)))
!def(WIN32),def(WIN32)
(def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
True,!def(CURL_DISABLE_CRYPTO_AUTH)
!def(CURL_DISABLE_HTTP),True
(def(__riscos__)&def(USE_ENVIRONMENT)),True
def(TEST_DECODE),True
def(_NETRC_DEBUG),True
def(GETPART_TEST),True
True,!def(HAVE_STRTOK_R)
def(DPRINTF_DEBUG2),True
def(USE_ENVIRONMENT),True
def(ENABLE_IPV6),True
(def(HAVE_KRB4)&!def(CURL_DISABLE_FTP)),True
def(HAVE_POLL_FINE),True
def(TEST_ENCODE),True
(def(__riscos__)&def(USE_ENVIRONMENT)),def(USE_ENVIRONMENT)
True,(def(HAVE_KRB4)&!def(CURL_DISABLE_FTP))
def(IOCTL_3_ARGS),True
True,(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
True,!def(CURL_DISABLE_HTTP)
True,!def(USE_SSLEAY)
(def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
True,def(DPRINTF_DEBUG)
True,(!def(HAVE_GSSAPI)&def(USE_SSLEAY))
def(USE_ENVIRONMENT),(def(__riscos__)&def(USE_ENVIRONMENT))
!def(CURL_DISABLE_CRYPTO_AUTH),True
def(WIN32),True
!def(HAVE_POLL_FINE),True
True,(def(HAVE_GSSAPI)&def(USE_SSLEAY))
(def(HAVE_O_NONBLOCK)&(!def(HAVE_STDLIB_H)|def(WIN32))),True
def(CURLDEBUG),(!def(VMS)|def(CURLDEBUG))
!def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
(!def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
True,(def(HAVE_GSSAPI)&!def(USE_SSLEAY))
True,def(WIN32)
(!def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
def(CURLDEBUG),True
True,def(IOCTL_3_ARGS)
True,def(DPRINTF_DEBUG2)
def(USE_ARES),True
def(USE_SSLEAY),True
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
