!def(HAVE_GETTIMEOFDAY),(!def(HAVE_GETTIMEOFDAY)&!def(WIN32))
!def(IOCTL_3_ARGS),True
def(TEST_ENCODE),True
!def(ENABLE_IPV6),!def(HAVE_INET_PTON)
def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
def(USE_SSLEAY),True
!def(CURL_DISABLE_HTTP),True
(def(LIB526)&!def(LIB527)),True
True,def(CURLDEBUG)
def(LIB532),True
True,(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
(def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
!def(HAVE_OPENSSL_ENGINE_H),True
True,!def(CURL_DISABLE_HTTP)
!def(CURL_DISABLE_HTTP),(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP))
def(LIB529),True
def(USE_SSL),True
def(CURL_DO_LINEEND_CONV),True
!def(CURL_DISABLE_HTTP),def(CURLDEBUG)
!def(LIB532),True
def(CURLDEBUG),True
(!def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
!def(CURL_DISABLE_DICT),True
!def(CURL_DISABLE_HTTP),(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP)))
True,!def(USE_SSLEAY)
True,(!def(HAVE_GSSAPI)&def(USE_SSLEAY))
True,!def(CURL_DISABLE_CRYPTO_AUTH)
def(TEST_ENCODE),(def(CURL_DOES_CONVERSIONS)&def(TEST_ENCODE))
def(CURL_DISABLE_HTTP),def(CURLDEBUG)
True,(!def(WIN32)&(!def(SIGPIPE)|def(HAVE_SIGNAL)|!def(HAVE_SIGINTERRUPT))&(def(WIN32)|(def(SIGPIPE)&!def(HAVE_SIGNAL)&def(HAVE_SIGINTERRUPT))|!def(SIGPIPE)|!def(HAVE_SIGNAL)))
!def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
True,(def(HAVE_GSSAPI)&!def(USE_SSLEAY))
def(ENABLE_IPV6),True
!def(CURL_DISABLE_CRYPTO_AUTH),True
def(HAVE_GSSAPI),True
(!def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
def(IOCTL_3_ARGS),True
True,def(USE_SSLEAY)
True,(def(WIN32)|(def(SIGPIPE)&!def(HAVE_SIGNAL)&def(HAVE_SIGINTERRUPT))|(!def(WIN32)&(!def(SIGPIPE)|def(HAVE_SIGNAL)|!def(HAVE_SIGINTERRUPT))&def(SIGPIPE)&def(HAVE_SIGNAL)))
def(CURL_DOES_CONVERSIONS),True
True,(!def(HAVE_GETTIMEOFDAY)&!def(WIN32))
True,def(CURL_DOES_CONVERSIONS)
(def(USE_SSLEAY)&def(HAVE_OPENSSL_ENGINE_H)),True
def(HAVE_GETTIMEOFDAY),(!def(HAVE_GETTIMEOFDAY)&!def(WIN32))
def(TEST_DECODE),True
(def(HAVE_KRB4)&!def(CURL_DISABLE_FTP)),True
(!def(WIN32)&(!def(SIGPIPE)|def(HAVE_SIGNAL)|!def(HAVE_SIGINTERRUPT))&(def(WIN32)|(def(SIGPIPE)&!def(HAVE_SIGNAL)&def(HAVE_SIGINTERRUPT))|!def(SIGPIPE)|!def(HAVE_SIGNAL))),True
!def(HAVE_GMTIME_R),True
True,!def(HAVE_STRTOK_R)
def(DISABLE_EXPECT),True
def(USE_CHUNKED),True
(!def(HAVE_GETTIMEOFDAY)&!def(WIN32)),True
(def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
!def(USE_SSLEAY),True
def(ENABLE_IPV6),!def(HAVE_INET_PTON)
(def(WIN32)|(def(SIGPIPE)&!def(HAVE_SIGNAL)&def(HAVE_SIGINTERRUPT))|(!def(WIN32)&(!def(SIGPIPE)|def(HAVE_SIGNAL)|!def(HAVE_SIGINTERRUPT))&def(SIGPIPE)&def(HAVE_SIGNAL))),True
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),True
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),True
def(CURLDEBUG),(!def(CURLDEBUG)&!def(VMS))
!def(LIB529),True
True,(def(HAVE_GSSAPI)&def(USE_SSLEAY))
