!def(CURL_DISABLE_HTTP),def(CURLDEBUG)
(!def(WIN32)&(!def(SIGPIPE)|def(HAVE_SIGNAL)|!def(HAVE_SIGINTERRUPT))&(def(WIN32)|(def(SIGPIPE)&!def(HAVE_SIGNAL)&def(HAVE_SIGINTERRUPT))|!def(SIGPIPE)|!def(HAVE_SIGNAL))),True
!def(CURL_DISABLE_HTTP),True
!def(CURL_DISABLE_CRYPTO_AUTH),True
True,!def(HAVE_STRTOK_R)
!def(CURL_DISABLE_HTTP),(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP)))
(!def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
True,(def(WIN32)|(def(SIGPIPE)&!def(HAVE_SIGNAL)&def(HAVE_SIGINTERRUPT))|(!def(WIN32)&(!def(SIGPIPE)|def(HAVE_SIGNAL)|!def(HAVE_SIGINTERRUPT))&def(SIGPIPE)&def(HAVE_SIGNAL)))
(!def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
!def(IOCTL_3_ARGS),True
!def(HAVE_GMTIME_R),True
True,!def(CURL_DISABLE_CRYPTO_AUTH)
True,!def(CURL_DISABLE_HTTP)
True,(def(HAVE_GSSAPI)&!def(USE_SSLEAY))
def(CURL_DISABLE_HTTP),def(CURLDEBUG)
!def(USE_SSLEAY),True
!def(CURL_DISABLE_HTTP),(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP))
!def(HAVE_GETTIMEOFDAY),(!def(HAVE_GETTIMEOFDAY)&!def(WIN32))
(def(HAVE_KRB4)&!def(CURL_DISABLE_FTP)),True
(def(USE_SSLEAY)&def(HAVE_OPENSSL_ENGINE_H)),True
True,def(CURL_DOES_CONVERSIONS)
True,(!def(WIN32)&(!def(SIGPIPE)|def(HAVE_SIGNAL)|!def(HAVE_SIGINTERRUPT))&(def(WIN32)|(def(SIGPIPE)&!def(HAVE_SIGNAL)&def(HAVE_SIGINTERRUPT))|!def(SIGPIPE)|!def(HAVE_SIGNAL)))
def(TEST_DECODE),True
!def(LIB529),True
def(USE_SSL),True
def(IOCTL_3_ARGS),True
def(CURL_DO_LINEEND_CONV),True
(def(WIN32)|(def(SIGPIPE)&!def(HAVE_SIGNAL)&def(HAVE_SIGINTERRUPT))|(!def(WIN32)&(!def(SIGPIPE)|def(HAVE_SIGNAL)|!def(HAVE_SIGINTERRUPT))&def(SIGPIPE)&def(HAVE_SIGNAL))),True
(def(HAVE_GSSAPI)&!def(USE_SSLEAY)),True
True,(!def(HAVE_GSSAPI)&def(USE_SSLEAY))
def(CURLDEBUG),(!def(CURLDEBUG)&!def(VMS))
(!def(HAVE_GETTIMEOFDAY)&!def(WIN32)),True
!def(CURL_DISABLE_DICT),True
def(LIB529),True
True,(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
!def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
!def(LIB532),True
def(CURLDEBUG),True
(def(HAVE_LIBZ)&!def(CURL_DISABLE_HTTP)),True
def(TEST_ENCODE),True
True,def(USE_SSLEAY)
def(USE_SSLEAY),(!def(HAVE_GSSAPI)&!def(USE_SSLEAY))
True,(!def(HAVE_GETTIMEOFDAY)&!def(WIN32))
True,(def(HAVE_GSSAPI)&def(USE_SSLEAY))
!def(ENABLE_IPV6),!def(HAVE_INET_PTON)
def(TEST_ENCODE),(def(CURL_DOES_CONVERSIONS)&def(TEST_ENCODE))
(def(ENABLE_IPV6)&!def(HAVE_INET_PTON)),!def(HAVE_INET_PTON)
(!def(CURL_DISABLE_HTTP)&!def(HAVE_LIBZ)&(!def(HAVE_LIBZ)|def(CURL_DISABLE_HTTP))),True
(def(HAVE_GSSAPI)&def(USE_SSLEAY)),True
True,def(CURLDEBUG)
def(HAVE_GETTIMEOFDAY),(!def(HAVE_GETTIMEOFDAY)&!def(WIN32))
!def(HAVE_OPENSSL_ENGINE_H),True
(def(LIB526)&!def(LIB527)),True
def(CURL_DOES_CONVERSIONS),True
def(LIB532),True
def(HAVE_GSSAPI),True
def(USE_CHUNKED),True
def(DISABLE_EXPECT),True
True,!def(USE_SSLEAY)
def(ENABLE_IPV6),True
def(ENABLE_IPV6),!def(HAVE_INET_PTON)
def(USE_SSLEAY),True
