!def(BADRAND),True
!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
True,def(TEST_STRFTIME)
True,!def(BADRAND)
True,!def(HAVE_ERF)
def(BADRAND),True
True,!def(USE_SYSTEM_TIME)
def(TEST_TERMDOC),True
def(USE_SYSTEM_TIME),True
True,!def(LITE)
True,!def(HAVE_ERFC)
!def(USE_SYSTEM_TIME),True
!def(HAVE_ERF),True
def(TEST_TIME),!def(USE_SYSTEM_TIME)
True,(def(VMS)&!def(MSDOS))
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
True,!def(NO_LOCALE_H)
!def(HAVE_ERFC),True
def(TEST_STRFTIME),True
True,def(NO_LOCALE_H)
!def(LITE),True
