!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
!def(BADRAND),True
def(PM3D),True
True,def(NO_LOCALE_H)
def(USE_MOUSE),True
True,def(BITMAPDEBUG)
!def(HAVE_ERF),True
def(TEST_TERMDOC),True
True,!def(BADRAND)
True,!def(USE_SYSTEM_TIME)
True,!def(NO_LOCALE_H)
True,def(TEST_STRFTIME)
def(TEST_STRFTIME),True
True,!def(HAVE_ERF)
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
def(TEST_TIME),!def(USE_SYSTEM_TIME)
def(USE_SYSTEM_TIME),True
True,(def(VMS)&!def(MSDOS))
def(TEST_TIME),def(USE_SYSTEM_TIME)
!def(HAVE_ERFC),True
def(BADRAND),True
True,!def(HAVE_ERFC)
!def(USE_SYSTEM_TIME),True
