!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
def(USE_SYSTEM_TIME),True
def(PM3D),True
!def(HAVE_ERFC),True
True,(def(VMS)&!def(MSDOS))
True,def(USE_SYSTEM_TIME)
!def(BADRAND),True
def(TEST_TIME),def(USE_SYSTEM_TIME)
True,!def(HAVE_ERF)
True,!def(HAVE_ERFC)
True,def(TEST_STRFTIME)
def(TEST_TIME),!def(USE_SYSTEM_TIME)
def(PROTOTYPES),True
def(TEST_TERMDOC),True
True,def(PROTOTYPES)
True,def(BITMAPDEBUG)
!def(HAVE_ERF),True
!def(USE_SYSTEM_TIME),True
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
def(USE_MOUSE),True
def(TEST_STRFTIME),True
