!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
!def(BADRAND),True
!def(USE_SYSTEM_TIME),True
def(TEST_TIME),!def(USE_SYSTEM_TIME)
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
def(TEST_STRFTIME),True
def(TEST_TIME),def(USE_SYSTEM_TIME)
True,(def(VMS)&!def(MSDOS))
def(PM3D),True
def(USE_SYSTEM_TIME),True
True,def(BITMAPDEBUG)
True,def(USE_SYSTEM_TIME)
def(USE_MOUSE),True
True,!def(HAVE_ERF)
!def(HAVE_ERFC),True
!def(HAVE_ERF),True
def(PROTOTYPES),True
True,def(TEST_STRFTIME)
True,def(PROTOTYPES)
True,!def(HAVE_ERFC)
def(TEST_TERMDOC),True
