!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
!def(LITE),True
def(EXTENDED_COLOR_SPECS),!def(EXTENDED_COLOR_SPECS)
True,!def(EXTENDED_COLOR_SPECS)
def(TEST_TIME),!def(USE_SYSTEM_TIME)
!def(GP_STRING_VARS),True
def(GP_STRING_VARS),def(BACKWARDS_COMPATIBLE)
True,def(GNUPLOT_HISTORY)
def(OLDUNSETTICS),True
def(EAM_HISTOGRAMS),True
True,def(USE_SYSTEM_TIME)
True,!def(HAVE_LOCALE_H)
True,def(BACKWARDS_COMPATIBLE)
True,!def(WITH_IMAGE)
!def(EXTENDED_COLOR_SPECS),def(EXTENDED_COLOR_SPECS)
!def(WITH_IMAGE),True
True,(!def(AMIGA_SC_6_1)&!def(PM3D))
def(HAVE_LOCALE_H),True
!def(OLDUNSETTICS),True
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),def(EAM_HISTOGRAMS)
True,(def(VMS)&!def(MSDOS))
True,(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES))
True,!def(BITMAPDEBUG)
True,!def(GP_STRING_VARS)
True,!def(AMIGA_SC_6_1)
def(USE_SYSTEM_TIME),True
!def(EXTENDED_COLOR_SPECS),True
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),True
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),def(USE_ULIG_FILLEDBOXES)
!def(USE_SYSTEM_TIME),True
True,def(GP_STRING_VARS)
def(EAM_OBJECTS),True
!def(EAM_HISTOGRAMS),True
!def(__PUREC__),True
def(EXTENDED_COLOR_SPECS),True
def(EAM_HISTOGRAMS),(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS))
def(TEST_TIME),def(USE_SYSTEM_TIME)
True,(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS))
def(TEST_TERMDOC),True
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
def(BACKWARDS_COMPATIBLE),True
!def(GPLT_X11_MODE),True
!def(GP_STRING_VARS),def(GP_STRING_VARS)
!def(HAVE_LOCALE_H),True
!def(GNUPLOT_HISTORY),True
True,def(TEST_STRFTIME)
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),True
def(TEST_STRFTIME),True
def(__PUREC__),True
def(GP_STRING_VARS),True
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),True
!def(AMIGA_SC_6_1),True
True,def(EAM_HISTOGRAMS)
def(GNUPLOT_HISTORY),True
def(USE_MOUSE),True
True,def(EXTENDED_COLOR_SPECS)
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS))
(!def(AMIGA_SC_6_1)&!def(PM3D)),True
(!def(AMIGA_SC_6_1)&def(USE_MOUSE)),True
