!def(EXTENDED_COLOR_SPECS),def(EXTENDED_COLOR_SPECS)
!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
def(BACKWARDS_COMPATIBLE),True
!def(WITH_IMAGE),True
def(EXTENDED_COLOR_SPECS),True
!def(BACKWARDS_COMPATIBLE),!def(EAM_OBJECTS)
!def(LITE),True
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),True
def(TEST_TERMDOC),True
(!def(AMIGA_SC_6_1)&def(USE_MOUSE)),True
def(BACKWARDS_COMPATIBLE),(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
!def(GNUPLOT_HISTORY),True
!def(USE_SYSTEM_TIME),True
def(BACKWARDS_COMPATIBLE),!def(HAVE_LOCALE_H)
!def(BACKWARDS_COMPATIBLE),!def(HAVE_LOCALE_H)
!def(BACKWARDS_COMPATIBLE),(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
True,(!def(AMIGA_SC_6_1)&def(USE_MOUSE))
(def(BACKWARDS_COMPATIBLE)&!def(GNUPLOT_HISTORY)),True
!def(EXTENDED_COLOR_SPECS),True
def(EAM_OBJECTS),True
(!def(AMIGA_SC_6_1)&!def(PM3D)),True
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),True
def(HAVE_LOCALE_H),True
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),def(USE_ULIG_FILLEDBOXES)
!def(EAM_HISTOGRAMS),True
!def(AMIGA_SC_6_1),True
True,!def(BITMAPDEBUG)
True,(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES))
True,(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
(def(BACKWARDS_COMPATIBLE)&def(USE_MOUSE)),def(USE_MOUSE)
def(EXTENDED_COLOR_SPECS),!def(EXTENDED_COLOR_SPECS)
def(USE_SYSTEM_TIME),True
(def(BACKWARDS_COMPATIBLE)&def(EAM_OBJECTS)),def(EAM_OBJECTS)
True,def(EAM_HISTOGRAMS)
def(TEST_STRFTIME),True
!def(BACKWARDS_COMPATIBLE),True
def(TEST_TIME),!def(USE_SYSTEM_TIME)
True,def(GNUPLOT_HISTORY)
True,!def(WITH_IMAGE)
(def(BACKWARDS_COMPATIBLE)&def(GNUPLOT_HISTORY)),def(GNUPLOT_HISTORY)
True,(!def(AMIGA_SC_6_1)&!def(PM3D))
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
!def(HAVE_LOCALE_H),True
!def(VOLATILE_REFRESH),True
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),True
!def(GPLT_X11_MODE),True
(!def(BACKWARDS_COMPATIBLE)&!def(GNUPLOT_HISTORY)),True
def(EAM_HISTOGRAMS),True
!def(__PUREC__),True
(!def(BACKWARDS_COMPATIBLE)&def(GP_MACROS)),def(GP_MACROS)
True,!def(EAM_OBJECTS)
True,!def(EXTENDED_COLOR_SPECS)
True,!def(GNUPLOT_HISTORY)
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),def(EAM_HISTOGRAMS)
True,def(USE_SYSTEM_TIME)
def(__PUREC__),True
!def(BACKWARDS_COMPATIBLE),def(BACKWARDS_COMPATIBLE)
(!def(BACKWARDS_COMPATIBLE)&def(EAM_OBJECTS)),def(EAM_OBJECTS)
def(USE_MOUSE),True
True,def(BACKWARDS_COMPATIBLE)
True,(!def(VOLATILE_REFRESH)&def(EAM_OBJECTS))
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS))
True,!def(HAVE_LOCALE_H)
True,!def(VOLATILE_REFRESH)
True,def(TEST_STRFTIME)
True,def(HAVE_LOCALE_H)
True,(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS))
def(GNUPLOT_HISTORY),True
(!def(BACKWARDS_COMPATIBLE)&def(GNUPLOT_HISTORY)),def(GNUPLOT_HISTORY)
def(EAM_HISTOGRAMS),(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS))
(!def(BACKWARDS_COMPATIBLE)&def(USE_MOUSE)),def(USE_MOUSE)
True,!def(USE_SYSTEM_TIME)
!def(EAM_OBJECTS),True
True,!def(AMIGA_SC_6_1)
def(BACKWARDS_COMPATIBLE),!def(EAM_OBJECTS)
True,def(EXTENDED_COLOR_SPECS)
(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE)),True
(def(BACKWARDS_COMPATIBLE)&def(GP_MACROS)),def(GP_MACROS)
