!def(USE_SYSTEM_TIME),True
!def(EXTENDED_COLOR_SPECS),def(EXTENDED_COLOR_SPECS)
!def(BACKWARDS_COMPATIBLE),(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
def(BACKWARDS_COMPATIBLE),True
def(EXTENDED_COLOR_SPECS),!def(EXTENDED_COLOR_SPECS)
(!def(BACKWARDS_COMPATIBLE)&def(GP_MACROS)),def(GP_MACROS)
def(__PUREC__),True
(!def(EAM_OBJECTS)&!def(AMIGA_SC_6_1)),True
(def(BACKWARDS_COMPATIBLE)&!def(GNUPLOT_HISTORY)),True
!def(LITE),True
(def(BACKWARDS_COMPATIBLE)&def(USE_MOUSE)),def(USE_MOUSE)
(!def(BACKWARDS_COMPATIBLE)&def(EAM_OBJECTS)),def(EAM_OBJECTS)
(def(BACKWARDS_COMPATIBLE)&def(EAM_OBJECTS)),def(EAM_OBJECTS)
True,!def(USE_SYSTEM_TIME)
True,(!def(AMIGA_SC_6_1)&def(USE_MOUSE))
True,!def(VOLATILE_REFRESH)
(!def(BACKWARDS_COMPATIBLE)&def(GNUPLOT_HISTORY)),def(GNUPLOT_HISTORY)
True,(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
(!def(BACKWARDS_COMPATIBLE)&!def(GNUPLOT_HISTORY)),True
!def(__PUREC__),True
True,!def(BITMAPDEBUG)
(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE)),True
True,def(USE_SYSTEM_TIME)
!def(VOLATILE_REFRESH),True
def(USE_MOUSE),True
def(GNUPLOT_HISTORY),True
def(USE_SYSTEM_TIME),True
True,def(BACKWARDS_COMPATIBLE)
def(TEST_STRFTIME),True
!def(BACKWARDS_COMPATIBLE),def(BACKWARDS_COMPATIBLE)
True,(!def(EAM_OBJECTS)&!def(AMIGA_SC_6_1))
True,def(HAVE_LOCALE_H)
!def(GPLT_X11_MODE),True
(def(BACKWARDS_COMPATIBLE)&def(GNUPLOT_HISTORY)),def(GNUPLOT_HISTORY)
!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
(!def(BACKWARDS_COMPATIBLE)&def(USE_MOUSE)),def(USE_MOUSE)
!def(GNUPLOT_HISTORY),True
True,def(TEST_STRFTIME)
(!def(AMIGA_SC_6_1)&def(USE_MOUSE)),True
!def(HAVE_LOCALE_H),True
def(BACKWARDS_COMPATIBLE),!def(EAM_OBJECTS)
True,!def(GNUPLOT_HISTORY)
def(EXTENDED_COLOR_SPECS),True
def(BACKWARDS_COMPATIBLE),!def(HAVE_LOCALE_H)
!def(BACKWARDS_COMPATIBLE),True
!def(EAM_OBJECTS),True
True,!def(EXTENDED_COLOR_SPECS)
!def(BACKWARDS_COMPATIBLE),!def(HAVE_LOCALE_H)
def(VOLATILE_REFRESH),True
def(HAVE_LOCALE_H),True
def(WITH_IMAGE),True
!def(BACKWARDS_COMPATIBLE),!def(EAM_OBJECTS)
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
(def(BACKWARDS_COMPATIBLE)&def(GP_MACROS)),def(GP_MACROS)
def(EAM_OBJECTS),True
True,def(GNUPLOT_HISTORY)
def(BACKWARDS_COMPATIBLE),!def(BACKWARDS_COMPATIBLE)
def(TEST_TIME),def(USE_SYSTEM_TIME)
!def(AMIGA_SC_6_1),True
True,!def(AMIGA_SC_6_1)
True,def(EXTENDED_COLOR_SPECS)
def(TEST_TERMDOC),True
!def(EXTENDED_COLOR_SPECS),True
def(TEST_TIME),!def(USE_SYSTEM_TIME)
True,!def(EAM_OBJECTS)
True,(!def(VOLATILE_REFRESH)&def(EAM_OBJECTS))
def(BACKWARDS_COMPATIBLE),(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
True,!def(HAVE_LOCALE_H)
