!def(BACKWARDS_COMPATIBLE),!def(EAM_OBJECTS)
!def(BACKWARDS_COMPATIBLE),!def(HAVE_LOCALE_H)
True,!def(HAVE_GD_PNG)
def(GNUPLOT_HISTORY),True
def(BACKWARDS_COMPATIBLE),!def(HAVE_LOCALE_H)
(!def(AMIGA_SC_6_1)&def(USE_MOUSE)),True
def(TEST_TIME),!def(USE_SYSTEM_TIME)
!def(LITE),True
!def(EXTENDED_COLOR_SPECS),True
True,!def(EAM_OBJECTS)
(!def(BACKWARDS_COMPATIBLE)&def(GNUPLOT_HISTORY)),def(GNUPLOT_HISTORY)
!def(AMIGA_SC_6_1),True
True,!def(HAVE_LOCALE_H)
!def(HAVE_LOCALE_H),True
(def(BACKWARDS_COMPATIBLE)&def(GNUPLOT_HISTORY)),def(GNUPLOT_HISTORY)
!def(BACKWARDS_COMPATIBLE),(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
def(EXTENDED_COLOR_SPECS),!def(EXTENDED_COLOR_SPECS)
(!def(BACKWARDS_COMPATIBLE)&!def(GNUPLOT_HISTORY)),True
!def(VOLATILE_REFRESH),True
True,def(WIN32)
def(VOLATILE_REFRESH),True
def(BACKWARDS_COMPATIBLE),!def(EAM_OBJECTS)
(!def(BACKWARDS_COMPATIBLE)&def(GP_MACROS)),def(GP_MACROS)
def(BACKWARDS_COMPATIBLE),(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
True,!def(VOLATILE_REFRESH)
True,!def(USE_SYSTEM_TIME)
def(HAVE_LOCALE_H),True
def(TEST_TIME),def(USE_SYSTEM_TIME)
(!def(BACKWARDS_COMPATIBLE)&def(EAM_OBJECTS)),def(EAM_OBJECTS)
(def(BACKWARDS_COMPATIBLE)&!def(GNUPLOT_HISTORY)),True
True,(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
(!def(EAM_OBJECTS)&!def(AMIGA_SC_6_1)),True
def(USE_MOUSE),True
True,!def(BITMAPDEBUG)
(def(BACKWARDS_COMPATIBLE)&def(USE_MOUSE)),def(USE_MOUSE)
True,!def(EXTENDED_COLOR_SPECS)
def(BACKWARDS_COMPATIBLE),True
def(TEST_TERMDOC),True
True,(!def(VOLATILE_REFRESH)&def(EAM_OBJECTS))
def(__PUREC__),True
!def(BACKWARDS_COMPATIBLE),True
!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
True,(!def(EAM_OBJECTS)&!def(AMIGA_SC_6_1))
def(USE_SYSTEM_TIME),True
True,def(TEST_STRFTIME)
(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE)),True
!def(USE_SYSTEM_TIME),True
def(EXTENDED_COLOR_SPECS),True
True,def(GNUPLOT_HISTORY)
!def(HAVE_GD_PNG),True
!def(BACKWARDS_COMPATIBLE),def(BACKWARDS_COMPATIBLE)
True,def(HAVE_LOCALE_H)
True,def(BACKWARDS_COMPATIBLE)
!def(__PUREC__),True
(def(BACKWARDS_COMPATIBLE)&def(GP_MACROS)),def(GP_MACROS)
(def(BACKWARDS_COMPATIBLE)&def(EAM_OBJECTS)),def(EAM_OBJECTS)
True,!def(GNUPLOT_HISTORY)
True,!def(AMIGA_SC_6_1)
(!def(BACKWARDS_COMPATIBLE)&def(USE_MOUSE)),def(USE_MOUSE)
!def(EXTENDED_COLOR_SPECS),def(EXTENDED_COLOR_SPECS)
!def(GPLT_X11_MODE),True
!def(GNUPLOT_HISTORY),True
def(TEST_STRFTIME),True
def(EAM_OBJECTS),True
True,def(EXTENDED_COLOR_SPECS)
!def(EAM_OBJECTS),True
True,def(USE_SYSTEM_TIME)
True,(!def(AMIGA_SC_6_1)&def(USE_MOUSE))
def(BACKWARDS_COMPATIBLE),!def(BACKWARDS_COMPATIBLE)
