!def(EXTENDED_COLOR_SPECS),def(EXTENDED_COLOR_SPECS)
def(TEST_TIME),!def(USE_SYSTEM_TIME)
True,def(TEST_STRFTIME)
(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE)),True
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
def(__PUREC__),True
def(BACKWARDS_COMPATIBLE),def(GP_MACROS)
(!def(BACKWARDS_COMPATIBLE)&def(EAM_OBJECTS)),def(EAM_OBJECTS)
True,!def(HAVE_LOCALE_H)
def(BACKWARDS_COMPATIBLE),!def(BACKWARDS_COMPATIBLE)
def(GNUPLOT_HISTORY),True
!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
def(BACKWARDS_COMPATIBLE),!def(HAVE_LOCALE_H)
!def(HAVE_LOCALE_H),True
def(BACKWARDS_COMPATIBLE),(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
(def(BACKWARDS_COMPATIBLE)&!def(GNUPLOT_HISTORY)),True
!def(VOLATILE_REFRESH),True
True,!def(EXTENDED_COLOR_SPECS)
!def(BACKWARDS_COMPATIBLE),!def(HAVE_LOCALE_H)
!def(HAVE_GD_PNG),True
True,!def(VOLATILE_REFRESH)
!def(BACKWARDS_COMPATIBLE),!def(EAM_OBJECTS)
(def(BACKWARDS_COMPATIBLE)&def(GP_MACROS)),def(GP_MACROS)
def(TEST_TERMDOC),True
True,def(BACKWARDS_COMPATIBLE)
(def(BACKWARDS_COMPATIBLE)&def(GNUPLOT_HISTORY)),def(GNUPLOT_HISTORY)
(!def(BACKWARDS_COMPATIBLE)&def(USE_MOUSE)),def(USE_MOUSE)
True,def(EXTENDED_COLOR_SPECS)
def(USE_SYSTEM_TIME),True
!def(GNUPLOT_HISTORY),True
True,def(HAVE_LOCALE_H)
True,!def(AMIGA_SC_6_1)
(def(BACKWARDS_COMPATIBLE)&def(EAM_OBJECTS)),def(EAM_OBJECTS)
True,(!def(EAM_OBJECTS)&!def(AMIGA_SC_6_1))
def(TEST_STRFTIME),True
!def(EAM_OBJECTS),True
(!def(BACKWARDS_COMPATIBLE)&def(GP_MACROS)),def(GP_MACROS)
def(EAM_OBJECTS),True
!def(USE_SYSTEM_TIME),True
True,def(GNUPLOT_HISTORY)
def(BACKWARDS_COMPATIBLE),True
def(USE_MOUSE),True
!def(__PUREC__),True
True,def(USE_SYSTEM_TIME)
def(BACKWARDS_COMPATIBLE),!def(EAM_OBJECTS)
def(EXTENDED_COLOR_SPECS),True
def(TEST_TIME),def(USE_SYSTEM_TIME)
(!def(EAM_OBJECTS)&!def(AMIGA_SC_6_1)),True
!def(BACKWARDS_COMPATIBLE),True
!def(GPLT_X11_MODE),True
True,!def(USE_SYSTEM_TIME)
True,!def(EAM_OBJECTS)
!def(BACKWARDS_COMPATIBLE),def(GP_MACROS)
!def(EXTENDED_COLOR_SPECS),True
def(VOLATILE_REFRESH),True
!def(LITE),True
!def(BACKWARDS_COMPATIBLE),def(BACKWARDS_COMPATIBLE)
True,!def(BITMAPDEBUG)
(!def(BACKWARDS_COMPATIBLE)&!def(GNUPLOT_HISTORY)),True
True,def(WIN32)
(!def(BACKWARDS_COMPATIBLE)&def(GNUPLOT_HISTORY)),def(GNUPLOT_HISTORY)
(def(BACKWARDS_COMPATIBLE)&def(USE_MOUSE)),def(USE_MOUSE)
def(HAVE_LOCALE_H),True
True,def(USE_MOUSE)
True,(!def(VOLATILE_REFRESH)&def(EAM_OBJECTS))
def(EXTENDED_COLOR_SPECS),!def(EXTENDED_COLOR_SPECS)
