!def(BACKWARDS_COMPATIBLE),(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
True,!def(VOLATILE_REFRESH)
True,def(BACKWARDS_COMPATIBLE)
!def(HAVE_GD_PNG),True
def(BACKWARDS_COMPATIBLE),(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
def(TEST_TERMDOC),True
def(TEST_TIME),def(USE_SYSTEM_TIME)
(def(BACKWARDS_COMPATIBLE)&def(GNUPLOT_HISTORY)),def(GNUPLOT_HISTORY)
(!def(BACKWARDS_COMPATIBLE)&def(EAM_OBJECTS)),def(EAM_OBJECTS)
!def(__PUREC__),True
!def(BACKWARDS_COMPATIBLE),True
def(TEST_TIME),!def(USE_SYSTEM_TIME)
True,def(TEST_STRFTIME)
!def(EXTENDED_COLOR_SPECS),True
def(__PUREC__),True
True,!def(BACKWARDS_COMPATIBLE)
!def(HAVE_LOCALE_H),True
(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE)),True
True,def(USE_SYSTEM_TIME)
def(BACKWARDS_COMPATIBLE),!def(EAM_OBJECTS)
def(__PUREC__),(!def(HAVE_INDEX)&!def(HAVE_STRCHR))
def(GNUPLOT_HISTORY),True
def(EXTENDED_COLOR_SPECS),True
True,(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
!def(USE_SYSTEM_TIME),True
def(EXTENDED_COLOR_SPECS),(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY))
!def(EAM_OBJECTS),True
def(BACKWARDS_COMPATIBLE),!def(HAVE_LOCALE_H)
def(BACKWARDS_COMPATIBLE),True
True,!def(HAVE_LOCALE_H)
def(HAVE_LOCALE_H),True
(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY)),True
True,def(EXTENDED_COLOR_SPECS)
!def(EXTENDED_COLOR_SPECS),def(EXTENDED_COLOR_SPECS)
!def(HAVE_STRSTR),True
True,!def(WIN32)
!def(VOLATILE_REFRESH),True
!def(NO_CROSSREFS),(!def(HAVE_INDEX)&!def(HAVE_STRCHR))
def(TEST_STRFTIME),True
(!def(BACKWARDS_COMPATIBLE)&def(GP_MACROS)),def(GP_MACROS)
True,(!def(HAVE_INDEX)&!def(HAVE_STRCHR))
(!def(BACKWARDS_COMPATIBLE)&def(USE_MOUSE)),def(USE_MOUSE)
True,def(HAVE_LOCALE_H)
def(VOLATILE_REFRESH),True
True,(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY))
(def(BACKWARDS_COMPATIBLE)&!def(GNUPLOT_HISTORY)),True
def(EAM_OBJECTS),True
True,!def(NO_CROSSREFS)
def(USE_MOUSE),True
!def(BACKWARDS_COMPATIBLE),!def(EAM_OBJECTS)
def(EXTENDED_COLOR_SPECS),!def(EXTENDED_COLOR_SPECS)
True,!def(HAVE_STRSTR)
True,def(USE_MOUSE)
def(HAVE_LOCALE_H),!def(HAVE_STRSTR)
(!def(BACKWARDS_COMPATIBLE)&def(GNUPLOT_HISTORY)),def(GNUPLOT_HISTORY)
(def(BACKWARDS_COMPATIBLE)&def(EAM_OBJECTS)),def(EAM_OBJECTS)
True,!def(EXTENDED_COLOR_SPECS)
True,!def(EAM_OBJECTS)
def(USE_SYSTEM_TIME),True
True,(!def(VOLATILE_REFRESH)&def(EAM_OBJECTS))
(!def(HAVE_INDEX)&!def(HAVE_STRCHR)),True
(def(BACKWARDS_COMPATIBLE)&def(GP_MACROS)),def(GP_MACROS)
(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY)),!def(EAM_OBJECTS)
(def(BACKWARDS_COMPATIBLE)&def(USE_MOUSE)),def(USE_MOUSE)
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
!def(GNUPLOT_HISTORY),True
!def(BACKWARDS_COMPATIBLE),!def(HAVE_LOCALE_H)
!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
True,def(GNUPLOT_HISTORY)
True,!def(USE_SYSTEM_TIME)
True,!def(BITMAPDEBUG)
!def(GPLT_X11_MODE),True
(!def(BACKWARDS_COMPATIBLE)&!def(GNUPLOT_HISTORY)),True
def(BACKWARDS_COMPATIBLE),!def(BACKWARDS_COMPATIBLE)
!def(EXTENDED_COLOR_SPECS),(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY))
