!def(HAVE_LOCALE_H),True
def(BACKWARDS_COMPATIBLE),True
def(EAM_HISTOGRAMS),True
True,!def(HAVE_LOCALE_H)
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
True,(!def(AMIGA_SC_6_1)&!def(PM3D))
True,def(USE_SYSTEM_TIME)
def(GNUPLOT_HISTORY),True
def(EAM_OBJECTS),True
def(USE_MOUSE),True
def(TEST_TIME),!def(USE_SYSTEM_TIME)
def(HAVE_LOCALE_H),True
!def(USE_SYSTEM_TIME),True
def(USE_SYSTEM_TIME),True
True,!def(USE_SYSTEM_TIME)
True,!def(VOLATILE_REFRESH)
!def(GPLT_X11_MODE),True
True,!def(EXTENDED_COLOR_SPECS)
True,def(GNUPLOT_HISTORY)
(!def(AMIGA_SC_6_1)&!def(PM3D)),True
!def(GNUPLOT_HISTORY),True
!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
True,!def(AMIGA_SC_6_1)
