!def(BACKWARDS_COMPATIBLE),def(BACKWARDS_COMPATIBLE)
True,!def(BACKWARDS_COMPATIBLE)
!def(USE_SYSTEM_TIME),True
True,!def(HAVE_LOCALE_H)
True,(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY))
True,!def(EAM_OBJECTS)
def(BACKWARDS_COMPATIBLE),!def(BACKWARDS_COMPATIBLE)
def(EAM_OBJECTS),True
True,def(HAVE_LOCALE_H)
def(HAVE_LOCALE_H),True
(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY)),True
!def(EAM_OBJECTS),True
(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE)),True
def(BACKWARDS_COMPATIBLE),(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
def(BACKWARDS_COMPATIBLE),True
True,def(GNUPLOT_HISTORY)
True,def(BACKWARDS_COMPATIBLE)
!def(BACKWARDS_COMPATIBLE),True
!def(HAVE_LOCALE_H),True
