!def(NO_DEBUG_MEMORY),xmlMemoryDump,additon,Function,7
True,htmlParseChunk,additon,Function,7
True,htmlCreatePushParserCtxt,additon,Function,7
True,reader,additon,Variable,7
def(LIBXML_C14N_ENABLED),xmlC14NNamespacesCompare,parameter,Function,7
True,htmlEncodeEntities,additon,Function,7
True,xmlCopyDoc,additon,Function,7
!def(NO_DEBUG_MEMORY),xmlFree,additon,Function,7
!def(NO_DEBUG_MEMORY),xmlMalloc,exclusion,Function,7
def(LIBXML_C14N_ENABLED),xmlC14NPrintAttrs,parameter,Function,7
def(LIBXML_C14N_ENABLED),xmlC14NAttrsCompare,parameter,Function,7
def(STANDALONE),ftpData,parameter,Function,7
True,htmlParseFile,additon,Function,7
True,htmlFreeParserCtxt,additon,Function,7
def(LIBXML_XPTR_ENABLED),xmlXPtrBuildNodeList,parameter,Function,7
True,parseAndPrintFile,additon,Function,7
def(LIBXML_C14N_ENABLED),xmlC14NPrintNamespaces,parameter,Function,7
True,htmlSAXParseFile,additon,Function,7
def(STANDALONE),ftpList,parameter,Function,7
def(LIBXML_HTML_ENABLED),encoding,additon,Variable,7
