!def(NO_DEBUG_MEMORY),(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
True,!def(XML_USE_BUFFER_CONTENT)
True,def(STANDALONE)
!def(NO_DEBUG_MEMORY),True
True,!def(NO_DEBUG_MEMORY)
True,def(BIG_ENDIAN)
!def(VMS),def(XML_USE_BUFFER_CONTENT)
def(DEBUG_XINCLUDE),True
def(DEBUG),!def(NO_DEBUG_MEMORY)
def(DEBUG_TREE),True
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),!def(NO_DEBUG_MEMORY)
!def(XML_USE_BUFFER_CONTENT),!def(VMS)
True,!def(BIG_ENDIAN)
def(XML_USE_BUFFER_CONTENT),True
!def(XML_USE_BUFFER_CONTENT),!def(NO_DEBUG_MEMORY)
def(DEBUG),True
True,def(XML_USE_BUFFER_CONTENT)
def(XML_USE_BUFFER_CONTENT),!def(VMS)
!def(DEBUG),!def(NO_DEBUG_MEMORY)
def(DEBUG_SAX_TREE),def(XML_USE_BUFFER_CONTENT)
def(DEBUG_EVAL_COUNTS),!def(NO_DEBUG_MEMORY)
def(STANDALONE),!def(NO_DEBUG_MEMORY)
!def(DEBUG_VALID_ALGO),True
def(VMS),True
def(DEBUG_VALID_ALGO),True
True,!def(VMS)
True,(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
!def(BIG_ENDIAN),True
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),True
def(DEBUG_RANGES),True
!def(USE_UTF_8),True
True,!def(DEBUG_VALID_ALGO)
def(BIG_ENDIAN),True
!def(XML_USE_BUFFER_CONTENT),True
!def(VMS),True
def(STANDALONE),True
