!def(VMS),def(XML_USE_BUFFER_CONTENT)
def(STANDALONE),True
def(XML_USE_BUFFER_CONTENT),True
def(DEBUG_VALID_ALGO),True
True,!def(BIG_ENDIAN)
def(STANDALONE),!def(NO_DEBUG_MEMORY)
def(DEBUG),!def(NO_DEBUG_MEMORY)
!def(BIG_ENDIAN),True
def(XML_USE_BUFFER_CONTENT),!def(VMS)
True,!def(DEBUG_VALID_ALGO)
!def(DEBUG_VALID_ALGO),True
True,!def(USE_UTF_8)
!def(USE_UTF_8),True
True,def(STANDALONE)
def(DEBUG),True
!def(XML_USE_BUFFER_CONTENT),!def(NO_DEBUG_MEMORY)
!def(NO_DEBUG_MEMORY),True
def(VMS),True
!def(XML_USE_BUFFER_CONTENT),!def(VMS)
def(BIG_ENDIAN),True
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),True
True,!def(XML_USE_BUFFER_CONTENT)
True,def(BIG_ENDIAN)
True,def(XML_USE_BUFFER_CONTENT)
def(DEBUG_TREE),True
True,!def(NO_DEBUG_MEMORY)
def(DEBUG_RANGES),True
!def(NO_DEBUG_MEMORY),(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
!def(XML_USE_BUFFER_CONTENT),True
True,!def(VMS)
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),!def(NO_DEBUG_MEMORY)
def(DEBUG_XINCLUDE),True
def(DEBUG_SAX_TREE),def(XML_USE_BUFFER_CONTENT)
!def(VMS),True
!def(DEBUG),!def(NO_DEBUG_MEMORY)
True,(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
def(DEBUG_EVAL_COUNTS),!def(NO_DEBUG_MEMORY)
