!def(DEBUG),!def(NO_DEBUG_MEMORY)
True,!def(DEBUG_VALID_ALGO)
def(DEBUG),True
!def(USE_UTF_8),True
def(LIBXML_C14N_ENABLED),(def(HAVE_ZLIB_H)&def(LIBXML_C14N_ENABLED))
def(DEBUG_RANGES),True
True,!def(VMS)
def(DEBUG_VALID_ALGO),True
True,!def(BIG_ENDIAN)
(def(HAVE_ZLIB_H)&def(LIBXML_C14N_ENABLED)),True
!def(NO_DEBUG_MEMORY),True
!def(DEBUG_VALID_ALGO),True
!def(BIG_ENDIAN),True
def(DEBUG_TREE),True
!def(NO_DEBUG_MEMORY),def(LIBXML_C14N_ENABLED)
def(STANDALONE),True
def(DEBUG_SAX_TREE),True
def(DEBUG_EVAL_COUNTS),!def(NO_DEBUG_MEMORY)
True,def(STANDALONE)
!def(VMS),True
!def(NO_DEBUG_MEMORY),(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
True,def(BIG_ENDIAN)
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),True
def(LIBXML_C14N_ENABLED),!def(NO_DEBUG_MEMORY)
True,def(DEBUG_RANGES)
(def(HAVE_ZLIB_H)&def(LIBXML_C14N_ENABLED)),def(LIBXML_C14N_ENABLED)
True,def(LIBXML_C14N_ENABLED)
def(BIG_ENDIAN),True
def(STANDALONE),!def(NO_DEBUG_MEMORY)
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),!def(NO_DEBUG_MEMORY)
True,!def(NO_DEBUG_MEMORY)
def(VMS),True
True,!def(USE_UTF_8)
def(DEBUG_XINCLUDE),True
True,(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
def(DEBUG_TREE),!def(NO_DEBUG_MEMORY)
def(DEBUG),!def(NO_DEBUG_MEMORY)
def(LIBXML_C14N_ENABLED),True
