!def(NO_DEBUG_MEMORY),def(LIBXML_C14N_ENABLED)
def(STANDALONE),!def(NO_DEBUG_MEMORY)
(def(HAVE_ZLIB_H)&def(LIBXML_C14N_ENABLED)),def(LIBXML_C14N_ENABLED)
True,def(LIBXML_C14N_ENABLED)
!def(NO_DEBUG_MEMORY),(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
def(STANDALONE),True
True,!def(USE_UTF_8)
!def(VMS),True
True,def(BIG_ENDIAN)
True,!def(VMS)
True,!def(DEBUG_VALID_ALGO)
True,def(STANDALONE)
def(DEBUG_VALID_ALGO),True
!def(BIG_ENDIAN),True
def(DEBUG_XINCLUDE),True
!def(NO_DEBUG_MEMORY),True
!def(USE_UTF_8),True
True,def(DEBUG_RANGES)
True,!def(NO_DEBUG_MEMORY)
True,!def(BIG_ENDIAN)
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),!def(NO_DEBUG_MEMORY)
def(DEBUG),!def(NO_DEBUG_MEMORY)
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),True
def(DEBUG_EVAL_COUNTS),!def(NO_DEBUG_MEMORY)
def(DEBUG_SAX_TREE),True
!def(DEBUG),!def(NO_DEBUG_MEMORY)
(def(HAVE_ZLIB_H)&def(LIBXML_C14N_ENABLED)),True
!def(DEBUG_VALID_ALGO),True
def(DEBUG_TREE),!def(NO_DEBUG_MEMORY)
def(DEBUG_TREE),True
True,(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
def(LIBXML_C14N_ENABLED),True
def(VMS),True
def(LIBXML_C14N_ENABLED),!def(NO_DEBUG_MEMORY)
def(BIG_ENDIAN),True
def(DEBUG),True
def(LIBXML_C14N_ENABLED),(def(HAVE_ZLIB_H)&def(LIBXML_C14N_ENABLED))
def(DEBUG_RANGES),True
