!def(NO_DEBUG_MEMORY),(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
!def(NO_DEBUG_MEMORY),True
def(LIBXML_C14N_ENABLED),(def(HAVE_ZLIB_H)&def(LIBXML_C14N_ENABLED))
!def(BIG_ENDIAN),True
def(LIBXML_C14N_ENABLED),True
True,def(STANDALONE)
def(DEBUG_SAX_TREE),True
def(DEBUG),True
(def(DEBUG_RANGES)&def(LIBXML_XPTR_ENABLED)),True
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),True
def(STANDALONE),True
(def(LIBXML_DEBUG_ENABLED)&def(DEBUG_READER)),True
!def(DEBUG),!def(NO_DEBUG_MEMORY)
def(DEBUG_EVAL_COUNTS),!def(NO_DEBUG_MEMORY)
!def(USE_UTF_8),True
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),!def(NO_DEBUG_MEMORY)
True,!def(DEBUG_VALID_ALGO)
!def(NO_DEBUG_MEMORY),def(LIBXML_C14N_ENABLED)
def(LIBXML_XPTR_ENABLED),(def(DEBUG_RANGES)&def(LIBXML_XPTR_ENABLED))
def(DEBUG_TREE),!def(NO_DEBUG_MEMORY)
def(LIBXML_C14N_ENABLED),def(DEBUG_SAX_TREE)
True,(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
!def(DEBUG_VALID_ALGO),True
True,!def(NO_DEBUG_MEMORY)
True,def(LIBXML_C14N_ENABLED)
True,!def(HAVE_SYS_MMAN_H)
def(LIBXML_C14N_ENABLED),!def(NO_DEBUG_MEMORY)
(def(DEBUG_RANGES)&def(LIBXML_XPTR_ENABLED)),def(LIBXML_XPTR_ENABLED)
def(LIBXML_XPTR_ENABLED),True
(def(HAVE_ZLIB_H)&def(LIBXML_C14N_ENABLED)),def(LIBXML_C14N_ENABLED)
def(DEBUG_TREE),True
(def(HAVE_ZLIB_H)&def(LIBXML_C14N_ENABLED)),def(DEBUG_SAX_TREE)
True,def(BIG_ENDIAN)
def(DEBUG),!def(NO_DEBUG_MEMORY)
!def(HAVE_SYS_MMAN_H),True
def(HAVE_SYS_MMAN_H),True
def(BIG_ENDIAN),True
(def(HAVE_ZLIB_H)&def(LIBXML_C14N_ENABLED)),True
True,def(LIBXML_XPTR_ENABLED)
def(STANDALONE),!def(NO_DEBUG_MEMORY)
def(LIBXML_XPTR_ENABLED),!def(NO_DEBUG_MEMORY)
def(DEBUG_VALID_ALGO),True
True,!def(BIG_ENDIAN)
True,def(HAVE_SYS_MMAN_H)
True,!def(USE_UTF_8)
