!def(HAVE_UNICODE_H),True
!def(NO_DEBUG_MEMORY),(def(MEM_LIST)&!def(NO_DEBUG_MEMORY))
True,!def(XML_USE_BUFFER_CONTENT)
def(DEBUG_TREE),!def(NO_DEBUG_MEMORY)
def(XML_USE_BUFFER_CONTENT),True
def(DEBUG_SAX_TREE),def(XML_USE_BUFFER_CONTENT)
True,!def(USE_UTF_8)
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),!def(NO_DEBUG_MEMORY)
True,!def(isinf)
True,def(XML_USE_BUFFER_CONTENT)
!def(USE_UTF_8),True
!def(XML_USE_BUFFER_CONTENT),True
!def(NO_DEBUG_MEMORY),True
True,!def(HAVE_UNICODE_H)
True,!def(NO_DEBUG_MEMORY)
def(DEBUG),True
def(DEBUG_TREE),True
!def(isinf),True
