def(LIBXML_XINCLUDE_ENABLED),def(LIBXML_XPTR_ENABLED)
def(LIBXML_HTML_ENABLED),def(XML_USE_BUFFER_CONTENT)
(def(LIBXML_XPTR_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_XPTR_ENABLED))),def(LIBXML_XPTR_ENABLED)
def(LIBXML_XPTR_ENABLED),(def(LIBXML_XPTR_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_XPTR_ENABLED)))
def(DEBUG_TREE),True
True,def(LIBXML_HTML_ENABLED)
def(LIBXML_XPTR_ENABLED),True
def(LIBXML_XPTR_ENABLED),!def(NO_DEBUG_MEMORY)
True,def(LIBXML_XPTR_ENABLED)
(def(LIBXML_HTML_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_HTML_ENABLED))),True
(def(MEM_LIST)&!def(NO_DEBUG_MEMORY)),True
def(LIBXML_HTML_ENABLED),True
True,!def(NO_DEBUG_MEMORY)
def(LIBXML_XINCLUDE_ENABLED),True
True,!def(VMS)
True,def(XML_USE_BUFFER_CONTENT)
!def(VMS),True
def(VMS),True
(!def(XML_USE_BUFFER_CONTENT)&def(LIBXML_HTML_ENABLED)),True
True,def(STANDALONE)
True,(def(LIBXML_HTML_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_HTML_ENABLED)))
(!def(XML_USE_BUFFER_CONTENT)&def(LIBXML_XPTR_ENABLED)),def(LIBXML_XPTR_ENABLED)
def(XML_USE_BUFFER_CONTENT),True
!def(XML_USE_BUFFER_CONTENT),True
def(LIBXML_HTML_ENABLED),(def(LIBXML_HTML_ENABLED)&def(XML_USE_BUFFER_CONTENT)&(def(XML_USE_BUFFER_CONTENT)|!def(LIBXML_HTML_ENABLED)))
