!def(USE_LINUX_EPOLL),def(USE_LINUX_EPOLL)
def(HAVE_PCRE_H),True
True,def(HAVE_IPV6)
def(HAVE_PWD_H),True
def(USE_OPENSSL),True
!def(USE_OPENSSL),True
def(HAVE_IPV6),True
True,def(HAVE_MMAP)
!def(USE_POLL),def(USE_POLL)
!def(USE_LDAP),True
def(WIN32),!def(WIN32)
True,def(HAVE_PCRE_H)
def(USE_LINUX_SENDFILE),True
def(USE_LINUX_SIGIO),True
!def(WIN32),def(WIN32)
def(USE_LDAP),True
True,def(USE_SELECT)
def(HAVE_FAM_H),True
!def(__WIN32),True
True,!def(USE_POLL)
True,def(HAVE_FORK)
def(USE_SELECT),!def(USE_SELECT)
True,def(USE_FREEBSD_KQUEUE)
def(WIN32),True
!def(WIN32),True
def(USE_LINUX_SIGIO),!def(USE_LINUX_SIGIO)
True,def(USE_LDAP)
def(HAVE_XATTR),True
True,def(USE_SOLARIS_DEVPOLL)
def(USE_LICENSE),True
True,!def(WIN32)
def(__WIN32),True
def(USE_FREEBSD_KQUEUE),True
def(DEBUG_PROC_OPEN),!def(WIN32)
def(HAVE_FORK),True
def(HAVE_LSTAT),True
def(DEBUG_ARRAY),True
True,def(USE_LINUX_SIGIO)
def(USE_FREEBSD_KQUEUE),!def(USE_FREEBSD_KQUEUE)
True,!def(USE_LINUX_EPOLL)
def(USE_SOLARIS_DEVPOLL),!def(USE_SOLARIS_DEVPOLL)
def(USE_FREEBSD_SENDFILE),True
def(DEBUG_PROC_OPEN),True
