!def(USE_LDAP),True
def(USE_SELECT),!def(USE_SELECT)
def(USE_LICENSE),True
True,!def(USE_POLL)
!def(USE_SOLARIS_DEVPOLL),def(USE_SOLARIS_DEVPOLL)
def(USE_LDAP),True
def(DEBUG_PROC_OPEN),True
True,def(HAVE_FORK)
def(WIN32),!def(WIN32)
True,!def(USE_LINUX_EPOLL)
def(HAVE_FAM_H),True
def(HAVE_IPV6),True
True,def(HAVE_PCRE_H)
def(DEBUG_PROC_OPEN),def(WIN32)
def(HAVE_LSTAT),True
True,def(HAVE_MMAP)
def(DEBUG_ARRAY),True
def(USE_LINUX_SIGIO),!def(USE_LINUX_SIGIO)
True,def(HAVE_IPV6)
def(USE_LINUX_SIGIO),True
!def(__WIN32),True
def(__WIN32),True
def(HAVE_FORK),True
True,def(USE_FREEBSD_KQUEUE)
def(HAVE_PCRE_H),True
def(HAVE_PWD_H),True
True,!def(WIN32)
True,def(USE_LDAP)
def(WIN32),True
!def(USE_OPENSSL),True
def(HAVE_XATTR),True
True,def(USE_LINUX_SIGIO)
def(USE_LINUX_SENDFILE),True
!def(WIN32),True
True,!def(USE_LDAP)
True,def(USE_SELECT)
def(USE_FREEBSD_KQUEUE),!def(USE_FREEBSD_KQUEUE)
!def(WIN32),def(WIN32)
True,def(WIN32)
def(USE_OPENSSL),True
def(USE_FREEBSD_SENDFILE),True
True,!def(USE_SOLARIS_DEVPOLL)
def(USE_LDAP),!def(USE_LDAP)
!def(USE_POLL),def(USE_POLL)
def(USE_FREEBSD_KQUEUE),True
!def(USE_LINUX_EPOLL),def(USE_LINUX_EPOLL)
