!def(WITH_BROKER),handle__pingreq,additon,Function,3
!def(WITH_BROKER),handle__pingresp,additon,Function,3
def(WITH_BROKER),handle__pubrec,exclusion,Function,3
True,mosquitto__log_printf,exclusion,Function,3
True,mqtt3_sub_add,exclusion,Function,3
True,db,additon,Variable,3
True,mosq,exclusion,Variable,3
True,mqtt3_subs_clean_session,exclusion,Function,3
True,handle__connack,additon,Function,3
def(WITH_BROKER),mosq,exclusion,Variable,3
True,cfg,exclusion,Variable,3
!def(WITH_BROKER),packet__write,exclusion,Function,3
True,handle__suback,additon,Function,3
True,handle__packet,additon,Function,3
True,handle__unsuback,additon,Function,3
True,mqtt3_packet_handle,exclusion,Function,3
True,packet__write,additon,Function,3
!def(WITH_BROKER),handle__pubrel,additon,Function,3
True,packet,additon,Variable,3
def(WITH_BROKER),handle__pubackcomp,additon,Function,3
