!def(WITH_BROKER),_mosquitto_handle_pubrec,additon,Function,3
!def(WITH_BROKER),packet__queue,exclusion,Function,3
True,mqtt3_db_message_write,additon,Function,3
def(WITH_BROKER),mosq,exclusion,Variable,3
!def(WITH_BROKER),_mosquitto_send_pubcomp,additon,Function,3
True,mid,additon,Variable,3
True,packet__cleanup,exclusion,Function,3
True,db__message_release,exclusion,Function,3
True,context,exclusion,Variable,3
True,message__cleanup,exclusion,Function,3
!def(WITH_BROKER),_mosquitto_send_pubrec,additon,Function,3
True,listensock,additon,Variable,3
!def(WITH_BROKER),handle__pubrel,exclusion,Function,3
True,mqtt3_db_message_update,additon,Function,3
!def(WITH_BROKER),_mosquitto_handle_pingresp,additon,Function,3
!def(WITH_BROKER),_mosquitto_handle_pingreq,additon,Function,3
True,message__remove,exclusion,Function,3
True,db__message_write,exclusion,Function,3
True,mqtt3_sub_add,additon,Function,3
True,_mosquitto_message_out_update,additon,Function,3
True,_mosquitto_will_set,additon,Function,3
True,mqtt3_db_messages_delete,additon,Function,3
True,mqtt3_db_message_delete,additon,Function,3
True,_mosquitto_message_remove,additon,Function,3
True,message__delete,exclusion,Function,3
!def(WITH_BROKER),handle__pingreq,exclusion,Function,3
True,db__message_delete,exclusion,Function,3
True,mqtt3_db_message_release,additon,Function,3
True,message__out_update,exclusion,Function,3
True,handle__connack,exclusion,Function,3
True,log__printf,exclusion,Function,3
True,mqtt3_subs_clean_session,additon,Function,3
True,stored,additon,Variable,3
!def(WITH_BROKER),handle__pingresp,exclusion,Function,3
!def(WITH_BROKER),message__out_update,exclusion,Function,3
True,qos,additon,Variable,3
True,packet__read_uint16,exclusion,Function,3
!def(WITH_BROKER),_mosquitto_handle_pubackcomp,additon,Function,3
True,mosq,exclusion,Variable,3
!def(WITH_BROKER),_mosquitto_send_puback,additon,Function,3
True,db,additon,Variable,3
True,handle__packet,exclusion,Function,3
True,mqtt3_db_messages_easy_queue,additon,Function,3
True,retain,additon,Variable,3
True,_mosquitto_message_cleanup,additon,Function,3
!def(WITH_BROKER),_mosquitto_send_publish,additon,Function,3
True,_mosquitto_log_printf,additon,Function,3
def(WITH_BROKER),db,additon,Variable,3
def(WITH_BROKER),mqtt3_db_message_update,additon,Function,3
True,_mosquitto_message_delete,additon,Function,3
!def(WITH_BROKER),handle__pubrec,exclusion,Function,3
True,_mosquitto_socket_get_address,additon,Function,3
True,packet,exclusion,Variable,3
!def(WITH_BROKER),_mosquitto_handle_pubrel,additon,Function,3
def(WITH_BROKER),db__message_update,exclusion,Function,3
True,packet__write,exclusion,Function,3
!def(WITH_BROKER),handle__pubackcomp,exclusion,Function,3
!def(WITH_BROKER),_mosquitto_send_pubrel,additon,Function,3
!def(WITH_BROKER),_mosquitto_message_out_update,additon,Function,3
True,db__message_update,exclusion,Function,3
True,mqtt3_db_message_reconnect_reset,additon,Function,3
True,net__socket_get_address,exclusion,Function,3
True,mqtt3_context_cleanup,additon,Function,3
