def(WITH_BRIDGE),True
(!def(WITH_SYS_TREE)&def(WITH_BRIDGE)),!def(WITH_BROKER)
(def(WITH_BRIDGE)&def(WITH_BROKER)&(!def(WITH_SYS_TREE)|!def(WITH_BROKER))),True
def(WITH_WRAP),True
True,def(WITH_WRAP)
def(WITH_SRV),True
def(WITH_TLS),True
True,!def(WIN32)
!def(WITH_TLS),True
def(WITH_BROKER),True
True,def(WITH_BROKER)
(def(WITH_TLS)&def(WITH_WRAP)),True
(def(WITH_TLS)&!def(WITH_WRAP)),True
!def(WIN32),True
!def(WITH_BROKER),True
True,!def(WITH_WRAP)
(!def(WITH_SYS_TREE)&def(WITH_BRIDGE)),True
True,(def(WITH_TLS)&def(WITH_WRAP))
!def(WITH_WRAP),True
True,!def(WITH_BROKER)
