Date, Evolution, Variabilities, TotalDependencies, DependenciesDeleted, DependenciesAdditions, DependenciesPreserved, DependenciesChanged
--,1,10,3,0,3,0,0
19-10-2012 02:21:14,2,10,3,0,0,3,0
22-10-2012 03:59:57,3,10,3,0,0,3,0
23-10-2012 06:25:29,4,10,3,0,0,3,0
23-10-2012 06:25:47,5,10,3,0,0,3,0
25-10-2012 12:05:38,6,10,3,0,0,3,0
25-10-2012 12:30:22,7,10,3,0,0,3,0
26-10-2012 06:32:30,8,10,3,0,0,3,0
30-10-2012 06:43:38,9,10,3,0,0,3,0
31-10-2012 06:57:11,10,10,3,0,0,3,0
03-11-2012 11:55:10,11,10,3,0,0,3,0
04-11-2012 01:21:35,12,10,3,0,0,3,0
06-01-2013 09:06:46,13,10,3,0,0,3,0
06-01-2013 09:08:21,14,10,3,0,0,3,0
08-01-2013 04:24:29,15,10,3,0,0,3,0
08-01-2013 04:41:02,16,10,3,0,0,3,0
09-01-2013 07:08:11,17,10,3,0,0,3,0
10-01-2013 08:09:50,18,10,3,0,0,3,0
12-01-2013 08:23:03,19,10,3,0,0,3,0
12-01-2013 03:09:12,20,10,3,0,0,3,0
19-01-2013 01:10:01,21,10,3,0,0,3,0
19-01-2013 01:14:25,22,10,3,0,0,3,0
19-01-2013 01:28:39,23,10,3,0,0,3,0
20-01-2013 05:07:44,24,10,3,0,0,3,0
20-01-2013 05:08:24,25,10,3,0,0,3,0
20-01-2013 06:43:34,26,10,3,0,0,3,0
20-01-2013 06:44:57,27,10,3,0,0,3,0
21-01-2013 05:52:42,28,10,3,0,0,3,0
21-01-2013 05:53:34,29,10,3,0,0,3,0
21-01-2013 06:39:37,30,10,3,0,0,3,0
21-01-2013 09:20:01,31,10,3,0,0,3,0
21-01-2013 10:54:02,32,10,3,0,0,3,0
21-01-2013 10:55:18,33,10,3,0,0,3,0
28-01-2013 02:47:33,34,10,3,0,0,3,0
28-01-2013 02:48:35,35,10,3,0,0,3,0
28-01-2013 02:51:01,36,10,3,0,0,3,0
28-01-2013 03:08:23,37,10,3,0,0,3,0
