Date, Evolution,Number of Functions Change,Number of Variables Change,Function(+),Variable(+),Function(-),Variable(-),Modifier Change(Var.),Especifier Change(Var.),Qualifier Change(Var.),Type Change(Var.),Function Return Change,	Modifier Change (Func.), Specifier Change (Func.),Qualifier Change (Func.),Parameters Change (Func.)
19-10-2012 02:21:14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-10-2012 03:59:57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-10-2012 06:25:29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-10-2012 06:25:47,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-10-2012 12:05:38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-10-2012 12:30:22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-10-2012 06:32:30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-10-2012 06:43:38,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-10-2012 06:57:11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-11-2012 11:55:10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-11-2012 01:21:35,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-01-2013 09:06:46,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-01-2013 09:08:21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-01-2013 04:24:29,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-01-2013 04:41:02,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-01-2013 07:08:11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-01-2013 08:09:50,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-01-2013 08:23:03,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-01-2013 03:09:12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-01-2013 01:10:01,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-01-2013 01:14:25,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-01-2013 01:28:39,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-01-2013 05:07:44,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-01-2013 05:08:24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-01-2013 06:43:34,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-01-2013 06:44:57,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-01-2013 05:52:42,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-01-2013 05:53:34,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-01-2013 06:39:37,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-01-2013 09:20:01,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-01-2013 10:54:02,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-01-2013 10:55:18,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2013 02:47:33,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2013 02:48:35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2013 02:51:01,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2013 03:08:23,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2013 03:56:16,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2013 08:42:44,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2013 08:43:01,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2013 08:43:22,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2013 08:51:29,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-02-2013 08:26:34,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-02-2013 01:12:01,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
