Date, Evolution,Number of Functions Change,Number of Variables Change,Function(+),Variable(+),Function(-),Variable(-),Modifier Change(Var.),Especifier Change(Var.),Qualifier Change(Var.),Type Change(Var.),Function Return Change,	Modifier Change (Func.), Specifier Change (Func.),Qualifier Change (Func.),Parameters Change (Func.)
23-09-2005 11:15:05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-09-2005 11:28:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-09-2005 01:43:31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-09-2005 03:06:25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-09-2005 03:06:51,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-09-2005 12:04:53,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-09-2005 12:04:53,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-09-2005 12:04:53,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-09-2005 12:04:53,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-09-2005 12:04:53,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-09-2005 12:04:53,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-09-2005 12:04:54,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-09-2005 12:04:54,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-09-2005 12:04:54,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-09-2005 12:06:45,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-09-2005 09:35:49,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-09-2005 05:30:57,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-09-2005 05:30:57,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-09-2005 05:30:58,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-09-2005 05:36:16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-09-2005 05:36:16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-09-2005 05:48:06,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-09-2005 08:40:00,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-09-2005 08:50:09,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-09-2005 08:50:09,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-09-2005 11:19:45,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-09-2005 11:44:56,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-09-2005 05:40:58,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-09-2005 10:25:38,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-09-2005 10:56:53,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-09-2005 10:58:42,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-09-2005 04:30:05,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-09-2005 05:03:57,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-09-2005 05:33:15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-09-2005 05:40:13,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-09-2005 10:39:20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-09-2005 02:45:40,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-09-2005 04:27:49,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-09-2005 04:27:49,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-09-2005 04:27:50,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-09-2005 06:49:23,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-09-2005 07:03:05,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-09-2005 03:25:34,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-09-2005 03:25:34,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-09-2005 03:25:34,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-10-2005 07:04:32,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-10-2005 07:04:32,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-10-2005 07:05:52,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-10-2005 07:49:49,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-10-2005 08:22:35,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-10-2005 08:22:35,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-10-2005 08:22:35,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-10-2005 08:23:20,54,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
02-10-2005 08:24:57,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-10-2005 08:40:18,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-10-2005 08:40:19,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-10-2005 11:17:58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-10-2005 11:56:08,59,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
05-10-2005 12:17:03,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-10-2005 04:07:03,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-10-2005 04:07:56,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-10-2005 02:50:40,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-10-2005 02:51:21,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-10-2005 03:13:28,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-10-2005 03:49:23,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-10-2005 04:44:42,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-10-2005 10:38:39,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-10-2005 11:07:56,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-10-2005 10:47:38,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-10-2005 10:47:38,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-10-2005 10:47:39,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-10-2005 12:20:45,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-10-2005 05:29:11,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-10-2005 05:29:11,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-10-2005 05:29:11,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-10-2005 05:44:44,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-10-2005 01:35:50,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-10-2005 02:18:46,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-10-2005 10:20:33,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-10-2005 10:20:33,81,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
08-10-2005 10:20:33,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
