!def(WIN32),OS_HasNetmask,additon,Function,3
def(WIN32),u_int16_t,additon,Variable,3
True,verbose,exclusion,Function,3
!def(WIN32),Privsep_SetGroup,additon,Function,3
!def(WIN32),OS_IsValidIP,additon,Function,3
!def(WIN32),getuname,additon,Function,3
True,main,additon,Function,3
True,DeletePID,additon,Function,3
True,merror,additon,Function,3
True,OS_PRegex,additon,Function,3
!def(WIN32),Privsep_GetUser,additon,Function,3
True,StartSIG,exclusion,Function,3
!def(WIN32),ip_address_regex,additon,Variable,3
!def(WIN32),pidfile,additon,Variable,3
!def(WIN32),StartMQ,additon,Function,3
True,SendMSG,exclusion,Function,3
def(WIN32),StartMQ,exclusion,Function,3
True,File_DateofChange,additon,Function,3
!def(WIN32),Privsep_SetUser,additon,Function,3
!def(WIN32),SendMSG,additon,Function,3
!def(WIN32),StartSIG,additon,Function,3
!def(WIN32),goDaemon,additon,Function,3
!def(WIN32),OS_SendUnix,exclusion,Function,3
!def(WIN32),Privsep_GetGroup,additon,Function,3
!def(WIN32),OS_IPFound,additon,Function,3
!def(WIN32),Privsep_Chroot,additon,Function,3
