!def(OSSECHIDS),!def(WIN32)
!def(SOLARIS),def(OSSECHIDS)
def(OSSECHIDS),True
def(DEBUG),True
def(__OpenBSD__),True
True,(!def(ASM_MD5)&!def(HIGHFIRST))
!def(LOCAL),True
def(OSSECHIDS),def(WIN32)
True,!def(OSSECHIDS)
def(SOLARIS),def(OSSECHIDS)
!def(WIN32),True
!def(OSSECHIDS),True
True,def(OSSECHIDS)
True,def(WIN32)
!def(OSSECHIDS),def(OSSECHIDS)
!def(LOCAL),def(WIN32)
True,!def(WIN32)
def(BF_PTR2),!def(BF_PTR2)
!def(BF_DEFAULT_OPTIONS),True
!def(BF_PTR2),def(BF_PTR2)
def(WIN32),True
True,def(AIX)
True,!def(BF_DEFAULT_OPTIONS)
