!def(WIN32),def(WIN32)
!def(SOLARIS),True
def(WIN32),True
!def(LOCAL),True
def(BF_PTR2),!def(BF_PTR2)
def(DEBUG),True
def(OSSECHIDS),True
!def(OSSECHIDS),def(OSSECHIDS)
def(SOLARIS),def(OSSECHIDS)
!def(OSSECHIDS),True
True,(!def(ASM_MD5)&!def(HIGHFIRST))
True,!def(WIN32)
!def(OSSECHIDS),!def(WIN32)
!def(WIN32),True
!def(BF_DEFAULT_OPTIONS),True
!def(LOCAL),!def(WIN32)
!def(SOLARIS),def(OSSECHIDS)
def(OSSECHIDS),!def(WIN32)
True,!def(BF_DEFAULT_OPTIONS)
True,def(WIN32)
True,def(DEBUG)
True,def(OSSECHIDS)
def(WIN32),!def(WIN32)
!def(BF_PTR2),def(BF_PTR2)
True,!def(OSSECHIDS)
def(__OpenBSD__),True
True,def(AIX)
