!def(OSSECHIDS),def(OSSECHIDS)
!def(OSSECHIDS),!def(WIN32)
True,def(AIX)
True,!def(WIN32)
True,(!def(ASM_MD5)&!def(HIGHFIRST))
!def(LOCAL),!def(WIN32)
!def(SOLARIS),def(OSSECHIDS)
def(OSSECHIDS),!def(WIN32)
def(__OpenBSD__),True
True,def(OSSECHIDS)
!def(BF_PTR2),def(BF_PTR2)
True,!def(BF_DEFAULT_OPTIONS)
def(WIN32),True
True,def(DEBUG)
def(DEBUG),True
!def(SOLARIS),True
True,def(WIN32)
def(BF_PTR2),!def(BF_PTR2)
def(SOLARIS),def(OSSECHIDS)
!def(WIN32),True
!def(LOCAL),True
!def(OSSECHIDS),True
!def(BF_DEFAULT_OPTIONS),True
def(WIN32),!def(WIN32)
def(OSSECHIDS),True
True,!def(OSSECHIDS)
