def(BF_PTR2),!def(BF_PTR2)
def(WIN32),True
True,!def(WIN32)
!def(SOLARIS),def(OSSECHIDS)
!def(OSSECHIDS),def(OSSECHIDS)
!def(WIN32),True
True,!def(OSSECHIDS)
!def(OSSECHIDS),True
True,def(DEBUG)
def(OSSECHIDS),True
def(DEBUG),True
def(SOLARIS),def(OSSECHIDS)
!def(OSSECHIDS),!def(WIN32)
def(WIN32),!def(WIN32)
!def(BF_PTR2),def(BF_PTR2)
True,def(AIX)
!def(SOLARIS),True
True,def(OSSECHIDS)
True,(!def(ASM_MD5)&!def(HIGHFIRST))
def(OSSECHIDS),!def(WIN32)
!def(LOCAL),!def(WIN32)
True,def(WIN32)
def(__OpenBSD__),True
True,!def(BF_DEFAULT_OPTIONS)
!def(LOCAL),True
!def(BF_DEFAULT_OPTIONS),True
