!def(LOCAL),!def(WIN32)
True,!def(WIN32)
!def(OSSECHIDS),def(OSSECHIDS)
def(DEBUG),True
True,!def(BF_DEFAULT_OPTIONS)
!def(OSSECHIDS),True
def(__OpenBSD__),True
True,def(AIX)
!def(SOLARIS),True
!def(LOCAL),True
True,!def(OSSECHIDS)
def(WIN32),True
!def(SOLARIS),def(OSSECHIDS)
def(OSSECHIDS),!def(WIN32)
def(SOLARIS),def(OSSECHIDS)
def(BF_PTR2),!def(BF_PTR2)
!def(OSSECHIDS),!def(WIN32)
!def(BF_PTR2),def(BF_PTR2)
True,def(WIN32)
!def(BF_DEFAULT_OPTIONS),True
def(WIN32),!def(WIN32)
def(OSSECHIDS),True
True,(!def(ASM_MD5)&!def(HIGHFIRST))
True,def(OSSECHIDS)
True,def(DEBUG)
!def(WIN32),True
