!def(SOLARIS),def(OSSECHIDS)
True,(!def(ASM_MD5)&!def(HIGHFIRST))
True,!def(WIN32)
def(WIN32),True
True,def(WIN32)
!def(WIN32),True
!def(OSSECHIDS),True
True,def(DEBUG)
def(OSSECHIDS),!def(WIN32)
!def(SOLARIS),True
def(WIN32),!def(WIN32)
True,def(OSSECHIDS)
!def(OSSECHIDS),def(OSSECHIDS)
!def(LOCAL),!def(WIN32)
True,def(AIX)
def(SOLARIS),def(OSSECHIDS)
def(OSSECHIDS),True
True,!def(OSSECHIDS)
def(DEBUG),True
!def(BF_PTR2),def(BF_PTR2)
def(BF_PTR2),!def(BF_PTR2)
!def(LOCAL),True
True,!def(BF_DEFAULT_OPTIONS)
def(__OpenBSD__),True
!def(OSSECHIDS),!def(WIN32)
!def(BF_DEFAULT_OPTIONS),True
