!def(OSSECHIDS),def(OSSECHIDS)
!def(WIN32),True
!def(LOCAL),!def(WIN32)
!def(OSSECHIDS),!def(WIN32)
!def(SOLARIS),def(OSSECHIDS)
!def(LOCAL),True
True,!def(WIN32)
def(OSSECHIDS),True
True,def(OSSECHIDS)
def(__OpenBSD__),True
True,def(DEBUG)
def(WIN32),True
!def(SOLARIS),True
def(OSSECHIDS),!def(WIN32)
True,!def(OSSECHIDS)
True,def(WIN32)
def(DEBUG),True
!def(BF_PTR2),def(BF_PTR2)
!def(OSSECHIDS),True
!def(BF_DEFAULT_OPTIONS),True
def(BF_PTR2),!def(BF_PTR2)
True,def(AIX)
!def(WIN32),!def(OSSECHIDS)
def(SOLARIS),def(OSSECHIDS)
True,!def(BF_DEFAULT_OPTIONS)
def(WIN32),!def(WIN32)
True,(!def(ASM_MD5)&!def(HIGHFIRST))
