!def(WIN32),!def(OSSECHIDS)
def(DEBUG),True
!def(LOCAL),True
!def(SOLARIS),def(OSSECHIDS)
def(SOLARIS),def(OSSECHIDS)
True,(!def(ASM_MD5)&!def(HIGHFIRST))
def(BF_PTR2),!def(BF_PTR2)
!def(BF_DEFAULT_OPTIONS),True
!def(OSSECHIDS),True
True,!def(WIN32)
def(OSSECHIDS),True
def(OSSECHIDS),!def(WIN32)
!def(BF_PTR2),def(BF_PTR2)
!def(LOCAL),!def(WIN32)
True,def(AIX)
!def(WIN32),True
def(__OpenBSD__),True
True,def(DEBUG)
def(WIN32),True
!def(OSSECHIDS),def(OSSECHIDS)
!def(SOLARIS),True
True,!def(OSSECHIDS)
True,!def(BF_DEFAULT_OPTIONS)
def(WIN32),!def(WIN32)
!def(OSSECHIDS),!def(WIN32)
True,def(OSSECHIDS)
True,def(WIN32)
