!def(__GNUC__),sc_debug,exclusion,Function,4
True,object,additon,Variable,4
True,pkcs15_pubkey_ops,additon,Variable,4
True,profile,exclusion,Variable,4
True,session,additon,Variable,4
True,pkcs15_cert_ops,additon,Variable,4
True,pkcs15_prkey_ops,additon,Variable,4
True,sc_strerror,exclusion,Function,4
True,sc_pkcs15init_unbind,additon,Function,4
True,context,exclusion,Variable,4
True,pkcs15_dobj_ops,additon,Variable,4
def(USE_PKCS15_INIT),pkcs15_create_object,additon,Function,4
True,attr,additon,Variable,4
True,fw_data,additon,Variable,4
True,__pkcs15_create_cert_object,exclusion,Function,4
def(USE_PKCS15_INIT),pkcs15init_unbind,exclusion,Function,4
True,attr_find2,exclusion,Function,4
True,create_cert_obj,additon,Function,4
def(HAVE_OPENSSL),read_ssh_key,specifier,Function,4
