!def(HAVE_OPENSSL),CKR2Str,exclusion,Function,7
def(USE_PKCS15_INIT),pkcs15_create_data,additon,Function,7
True,context,exclusion,Variable,7
True,fatal,exclusion,Function,7
def(COSM_EXTENDED),profile,additon,Variable,7
True,init_pin,exclusion,Function,7
def(HAVE_ZLIB_H),sc_strerror,type,Function,7
True,sc_read_binary,exclusion,Function,7
True,fw_data,additon,Variable,7
True,gen_key,additon,Function,7
def(HAVE_OPENSSL),sc_pkcs11_register_mechanism,exclusion,Function,7
def(HAVE_OPENSSL),register_mechanisms,exclusion,Function,7
def(HAVE_OPENSSL),read_ssh_key,specifier,Function,7
True,delete_object,additon,Function,7
True,pkcs15_pubkey_ops,additon,Variable,7
True,__pkcs15_create_data_object,exclusion,Function,7
True,p15card,exclusion,Variable,7
True,rutoken_select_file,exclusion,Function,7
True,get_prkey_from_bin,exclusion,Function,7
True,p11_mechanism_to_name,exclusion,Function,7
True,gen_keypair,exclusion,Function,7
def(COSM_EXTENDED),object,additon,Variable,7
True,pkcs15_dobj_ops,additon,Variable,7
True,sc_transmit_apdu,exclusion,Function,7
True,version,parameter,Function,7
def(HAVE_OPENSSL),cert,exclusion,Variable,7
True,card,additon,Variable,7
!def(HAVE_OPENSSL),p11_perror,exclusion,Function,7
True,pkcs15_cert_ops,additon,Variable,7
True,CKR2Str,exclusion,Function,7
True,sc_path_set,exclusion,Function,7
True,sc_file_free,exclusion,Function,7
True,sc_unlock,exclusion,Function,7
True,sc_pkcs11_new_fw_mechanism,exclusion,Function,7
def(HAVE_OPENSSL),rsa,exclusion,Variable,7
!def(HAVE_OPENSSL),sc_strerror,exclusion,Function,7
True,sc_pkcs11_register_mechanism,exclusion,Function,7
def(HAVE_OPENSSL),sc_pkcs11_new_fw_mechanism,exclusion,Function,7
True,sc_format_apdu,exclusion,Function,7
True,sc_strerror,exclusion,Function,7
True,pkcs15_prkey_ops,additon,Variable,7
!def(__GNUC__),sc_debug,exclusion,Function,7
True,sc_lock,exclusion,Function,7
def(USE_PKCS15_INIT),pkcs15_create_object,additon,Function,7
True,rutoken_check_sw,exclusion,Function,7
True,sc_do_log,additon,Function,7
