!def(HAVE_STRLCPY),strlcpy,exclusion,Function,8
True,sc_format_path,exclusion,Function,8
True,sc_profile_get_file,exclusion,Function,8
True,sc_pkcs15init_unbind,exclusion,Function,8
True,sign,exclusion,Function,8
True,keyLocation,exclusion,Variable,8
True,sc_do_log,exclusion,Function,8
True,sc_pkcs15emu_add_prkey,exclusion,Function,8
True,sc_select_file,exclusion,Function,8
True,sc_read_binary,exclusion,Function,8
!def(ENABLE_OPENSSL),version2,additon,Function,8
def(USE_PKCS15_INIT),pkcs15init_unbind,additon,Function,8
True,sc_pkcs15emu_add_pin,exclusion,Function,8
def(HAVE_ZLIB_H),usage,exclusion,Function,8
True,sc_profile_get_file_by_path,additon,Function,8
def(HAVE_OPENSSL),extract_key,exclusion,Function,8
True,sc_pkcs15emu_add_x509_cert,exclusion,Function,8
True,sc_pkcs15_encode_pubkey,additon,Function,8
True,profile,additon,Variable,8
True,append_file,additon,Function,8
True,infocamere_1400_set_sec_env,exclusion,Function,8
True,sc_append_file_id,exclusion,Function,8
True,usage,specifier,Function,8
True,p15card,additon,Variable,8
!def(ENABLE_OPENSSL),sc_pkcs15_wrap_data,additon,Function,8
def(COSM_EXTENDED),sc_strerror,exclusion,Function,8
!def(ENABLE_OPENSSL),version4,additon,Function,8
(def(ENABLE_OPENSSL)&def(COSM_EXTENDED)),sc_strerror,exclusion,Function,8
True,sc_strerror,exclusion,Function,8
True,sc_pkcs15_encode_pubkey_rsa,exclusion,Function,8
True,ctx,additon,Variable,8
True,card,exclusion,Variable,8
True,set_string,exclusion,Function,8
True,sc_pkcs15_cache_file,exclusion,Function,8
