!def(HAVE_STRLCPY),strlcpy,additon,Function,6
True,set_sec_env,additon,Function,6
def(USE_PKCS15_INIT),cache_pin,exclusion,Function,6
True,add_pins_to_keycache,additon,Function,6
True,slot,exclusion,Variable,6
True,sc_profile_get_file,additon,Function,6
True,sc_keycache_set_pin_name,exclusion,Function,6
def(HAVE_OPENSSL),extract_key,exclusion,Function,6
True,generate_key,additon,Function,6
def(ENABLE_OPENSSL),sc_pkcs11_verify_final,parameter,Function,6
True,pin,exclusion,Variable,6
True,sc_file_add_acl_entry,exclusion,Function,6
True,sc_profile_get_file_by_path,exclusion,Function,6
def(ENABLE_OPENSSL),pubkey,additon,Variable,6
True,sc_pkcs15init_create_file,exclusion,Function,6
True,sc_select_file,exclusion,Function,6
True,add_acl_entry,additon,Function,6
True,ctx,exclusion,Variable,6
True,sc_pkcs15_encode_pubkey_rsa,exclusion,Function,6
True,sc_keycache_put_key,exclusion,Function,6
True,sc_pkcs15_encode_pubkey,additon,Function,6
True,usage,specifier,Function,6
True,sc_append_file_id,additon,Function,6
True,p11card,exclusion,Variable,6
True,sc_keycache_forget_key,exclusion,Function,6
True,sc_strerror,exclusion,Function,6
True,infocamere_1400_set_sec_env,exclusion,Function,6
True,select_file,additon,Function,6
True,append_file,exclusion,Function,6
def(ENABLE_OPENSSL),sc_pkcs15_pubkey_from_cert,parameter,Function,6
True,sc_pkcs15_find_so_pin,exclusion,Function,6
True,card,exclusion,Variable,6
True,sc_pkcs15init_generate_key,exclusion,Function,6
def(USE_PKCS15_INIT),add_pins_to_keycache,exclusion,Function,6
