Date, Evolution, Variabilities, TotalDependencies, DependenciesDeleted, DependenciesAdditions, DependenciesPreserved, DependenciesChanged
--,1,18,17,0,17,0,0
26-09-2005 03:40:02,2,18,17,0,0,17,0
26-09-2005 05:20:48,3,18,17,0,0,17,0
26-09-2005 09:05:39,4,18,17,0,0,17,0
01-10-2005 07:10:12,5,18,17,0,0,17,0
01-10-2005 11:41:35,6,18,17,0,0,17,0
02-10-2005 07:36:19,7,18,17,0,0,17,0
02-10-2005 08:13:58,8,18,17,0,0,17,0
04-10-2005 07:51:44,9,19,18,0,1,17,0
12-10-2005 08:04:14,10,19,18,0,0,18,0
12-10-2005 11:26:59,11,19,18,0,0,18,0
12-10-2005 07:25:11,12,19,18,0,0,18,0
13-10-2005 12:08:20,13,19,18,0,0,18,0
13-10-2005 04:38:41,14,19,18,0,0,18,0
13-10-2005 06:11:14,15,19,18,0,0,18,0
14-10-2005 04:09:44,16,19,18,0,0,18,0
15-10-2005 12:48:36,17,19,18,0,0,18,0
15-10-2005 01:07:29,18,19,18,0,0,18,0
15-10-2005 03:21:39,19,19,18,0,0,18,0
15-10-2005 04:44:02,20,19,18,0,0,18,0
15-10-2005 05:43:36,21,19,18,0,0,18,0
15-10-2005 06:01:44,22,19,18,0,0,18,0
15-10-2005 06:15:45,23,19,18,0,0,18,0
15-10-2005 08:14:56,24,19,18,0,0,18,0
15-10-2005 08:51:04,25,19,18,0,0,18,0
15-10-2005 09:46:24,26,19,18,0,0,18,0
16-10-2005 09:07:32,27,19,18,0,0,18,0
16-10-2005 09:24:10,28,19,18,0,0,18,0
16-10-2005 10:00:37,29,19,18,0,0,18,0
16-10-2005 10:39:20,30,19,18,0,0,18,0
17-10-2005 04:39:41,31,19,18,0,0,18,0
17-10-2005 10:07:52,32,19,18,0,0,18,0
17-10-2005 10:20:21,33,19,18,0,0,18,0
18-10-2005 06:39:00,34,19,18,0,0,18,0
19-10-2005 04:50:13,35,19,18,0,0,18,0
19-10-2005 11:10:41,36,19,18,0,0,18,0
19-10-2005 12:36:14,37,19,18,0,0,18,0
19-10-2005 12:42:01,38,19,18,0,0,18,0
20-10-2005 02:58:08,39,19,18,0,0,18,0
20-10-2005 03:08:25,40,19,18,0,0,18,0
20-10-2005 04:42:01,41,19,18,0,0,18,0
20-10-2005 05:13:27,42,19,18,0,0,18,0
20-10-2005 05:43:50,43,19,18,0,0,18,0
20-10-2005 07:16:41,44,19,18,0,0,18,0
20-10-2005 04:00:56,45,19,18,0,0,18,0
20-10-2005 04:38:56,46,19,18,0,0,18,0
23-10-2005 09:38:40,47,19,18,0,0,18,0
24-10-2005 04:49:48,48,19,18,0,0,18,0
25-10-2005 02:28:54,49,19,18,0,0,18,0
25-10-2005 06:10:28,50,19,18,0,0,18,0
26-10-2005 08:46:30,51,19,18,0,0,18,0
30-10-2005 10:58:12,52,19,18,0,0,18,0
31-10-2005 12:01:17,53,19,18,0,0,18,0
31-10-2005 12:49:25,54,19,18,0,0,18,0
31-10-2005 02:35:08,55,19,18,0,0,18,0
31-10-2005 05:23:12,56,19,18,0,0,18,0
01-11-2005 06:05:04,57,19,18,0,0,18,0
01-11-2005 07:42:58,58,19,18,0,0,18,0
02-11-2005 01:14:44,59,19,18,0,0,18,0
02-11-2005 03:09:01,60,19,18,0,0,18,0
02-11-2005 04:42:51,61,19,18,0,0,18,0
02-11-2005 04:44:41,62,19,18,0,0,18,0
02-11-2005 10:43:43,63,19,18,0,0,18,0
02-11-2005 10:57:37,64,19,18,0,0,18,0
02-11-2005 11:46:31,65,19,18,0,0,18,0
03-11-2005 03:49:21,66,19,18,0,0,18,0
03-11-2005 09:05:02,67,19,18,0,0,18,0
03-11-2005 11:37:39,68,20,18,0,0,18,0
05-11-2005 04:42:33,69,20,18,0,0,18,0
05-11-2005 04:48:05,70,20,18,0,0,18,0
08-11-2005 09:50:11,71,20,18,0,0,18,0
09-11-2005 04:30:14,72,20,18,0,0,18,0
