!def(DMALLOC),def(DMALLOC)
True,def(WIN32)
def(HAVE_GETTIMEOFDAY),def(WIN32)
def(PLUGIN_PF),True
def(ENABLE_DEBUG),!def(DMALLOC)
def(PLUGIN_PF),!def(DMALLOC)
True,def(ENABLE_DEBUG)
def(TIME_TEST),def(WIN32)
def(MANAGEMENT_PF),True
True,!def(BUF_INIT_TRACKING)
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),True
def(ENABLE_SOCKS),True
True,def(ENABLE_PERFORMANCE_METRICS)
def(PACKET_TRUNCATION_CHECK),True
(!def(BUF_INIT_TRACKING)&def(DMALLOC)),def(DMALLOC)
def(DMALLOC),!def(DMALLOC)
def(ENABLE_PERFORMANCE_METRICS),True
True,!def(DMALLOC)
(!def(BUF_INIT_TRACKING)&!def(DMALLOC)),!def(DMALLOC)
def(DO_DAEMONIZE),True
!def(BUF_INIT_TRACKING),!def(DMALLOC)
True,def(DO_DAEMONIZE)
(def(ENABLE_DEBUG)&def(MANAGEMENT_PF)),(def(ENABLE_DEBUG)&def(PLUGIN_PF))
def(ENABLE_DEBUG),True
def(ENABLE_PERFORMANCE_METRICS),def(WIN32)
(!def(BUF_INIT_TRACKING)&def(CHARACTER_CLASS_DEBUG)),True
