!def(BUF_INIT_TRACKING),True
!def(BUF_INIT_TRACKING),!def(DMALLOC)
def(ENABLE_PERFORMANCE_METRICS),def(WIN32)
def(PLUGIN_PF),!def(DMALLOC)
(!def(BUF_INIT_TRACKING)&def(DMALLOC)),!def(DMALLOC)
def(ENABLE_PERFORMANCE_METRICS),True
def(HAVE_SIGNAL_H),True
(def(ENABLE_DEBUG)&def(MANAGEMENT_PF)),(def(ENABLE_DEBUG)&def(PLUGIN_PF))
(!def(BUF_INIT_TRACKING)&!def(DMALLOC)),!def(DMALLOC)
def(DO_DAEMONIZE),True
!def(DMALLOC),def(DMALLOC)
def(TIME_TEST),def(WIN32)
True,def(WIN32)
def(HAVE_GETTIMEOFDAY),def(WIN32)
(!def(BUF_INIT_TRACKING)&def(CHARACTER_CLASS_DEBUG)),True
True,def(ENABLE_MANAGEMENT)
(def(ENABLE_DEBUG)&def(PLUGIN_PF)),True
def(MANAGEMENT_PF),True
def(DMALLOC),!def(DMALLOC)
def(DMALLOC),True
True,def(ENABLE_DEBUG)
True,!def(BUF_INIT_TRACKING)
def(ENABLE_DEBUG),!def(DMALLOC)
def(ENABLE_MANAGEMENT),True
def(ENABLE_SOCKS),True
True,def(ENABLE_PERFORMANCE_METRICS)
!def(DMALLOC),True
True,!def(DMALLOC)
def(PACKET_TRUNCATION_CHECK),True
def(WIN32),True
def(ENABLE_DEBUG),True
def(PLUGIN_PF),True
