"index","Possible","variabilities","sumFunc","FAdd","FExc","FPar","FTyp","FMod","FEsp","FQua","sumVar","VAdd","VExc","VTyp","VMod","VEsp","VQua"
10016,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
10021,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10037,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
10107,1,1,2,1,1,0,0,0,0,0,2,0,2,0,0,0,0
10111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10127,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10149,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10166,1,1,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0
10170,1,1,0,0,0,0,0,0,0,0,11,6,5,0,0,0,0
10171,1,1,0,0,0,0,0,0,0,0,7,1,6,0,0,0,0
10205,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10213,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10217,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10221,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10245,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
10246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10247,2,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0
10315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10318,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10319,1,1,3,2,1,0,0,0,0,0,2,0,2,0,0,0,0
10327,1,1,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0
10328,1,1,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0
10329,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0
10341,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
10380,1,1,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0
10382,1,1,0,0,0,0,0,0,0,0,8,2,6,0,0,0,0
10399,3,1,1,0,1,0,0,0,0,0,3,0,3,0,0,0,0
10400,3,2,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0
10406,2,1,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0
10429,3,2,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0
10430,3,2,2,0,2,0,0,0,0,0,6,6,0,0,0,0,0
10437,1,1,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0
10444,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10455,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
10460,1,1,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0
10463,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10471,3,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0
10476,4,2,2,2,0,0,0,0,0,0,8,0,8,0,0,0,0
10482,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10487,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
10496,4,2,3,1,2,0,0,0,0,0,1,1,0,0,0,0,0
10503,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
10520,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
