Date, Evolution, Variabilities, TotalDependencies, DependenciesDeleted, DependenciesAdditions, DependenciesPreserved, DependenciesChanged
--,1,1,0,0,0,0,0
19-08-2003 12:03:46,2,1,0,0,0,0,0
01-12-2003 08:49:21,3,1,0,0,0,0,0
01-12-2003 09:55:39,4,1,0,0,0,0,0
01-12-2003 10:10:14,5,1,0,0,0,0,0
10-12-2003 05:31:25,6,1,0,0,0,0,0
12-12-2003 02:23:28,7,1,0,0,0,0,0
17-12-2003 12:52:54,8,1,0,0,0,0,0
17-12-2003 02:46:15,9,1,0,0,0,0,0
12-01-2004 02:47:48,10,1,0,0,0,0,0
14-01-2004 08:00:30,11,1,0,0,0,0,0
15-01-2004 01:34:02,12,1,0,0,0,0,0
15-01-2004 01:36:39,13,1,0,0,0,0,0
15-01-2004 01:39:21,14,1,0,0,0,0,0
19-01-2004 04:45:41,15,1,0,0,0,0,0
21-01-2004 07:34:14,16,1,0,0,0,0,0
22-01-2004 05:00:30,17,1,0,0,0,0,0
22-01-2004 08:24:21,18,1,0,0,0,0,0
23-01-2004 01:14:30,19,1,0,0,0,0,0
23-01-2004 01:17:44,20,1,0,0,0,0,0
23-01-2004 01:27:17,21,1,0,0,0,0,0
27-01-2004 04:34:31,22,1,0,0,0,0,0
28-01-2004 06:21:55,23,1,0,0,0,0,0
29-01-2004 10:26:08,24,1,0,0,0,0,0
30-01-2004 07:32:04,25,1,0,0,0,0,0
03-02-2004 06:30:49,26,1,0,0,0,0,0
04-02-2004 01:54:32,27,1,0,0,0,0,0
04-02-2004 07:06:48,28,1,0,0,0,0,0
04-02-2004 05:29:47,29,1,0,0,0,0,0
05-02-2004 01:07:56,30,1,0,0,0,0,0
05-02-2004 01:09:46,31,1,0,0,0,0,0
05-02-2004 11:00:49,32,1,0,0,0,0,0
05-02-2004 06:26:00,33,1,0,0,0,0,0
06-02-2004 09:54:52,34,1,0,0,0,0,0
06-02-2004 10:34:22,35,1,0,0,0,0,0
07-02-2004 07:17:35,36,1,0,0,0,0,0
07-02-2004 08:16:46,37,1,0,0,0,0,0
08-02-2004 05:00:53,38,1,0,0,0,0,0
08-02-2004 05:33:59,39,1,0,0,0,0,0
08-02-2004 06:08:40,40,1,0,0,0,0,0
08-02-2004 10:59:47,41,1,0,0,0,0,0
08-02-2004 11:02:56,42,1,0,0,0,0,0
10-02-2004 12:34:49,43,1,0,0,0,0,0
10-02-2004 02:40:52,44,1,0,0,0,0,0
10-02-2004 08:53:46,45,1,0,0,0,0,0
10-02-2004 10:25:35,46,1,0,0,0,0,0
10-02-2004 01:21:55,47,1,0,0,0,0,0
10-02-2004 02:58:29,48,1,0,0,0,0,0
10-02-2004 04:37:10,49,1,0,0,0,0,0
11-02-2004 12:12:43,50,1,0,0,0,0,0
11-02-2004 12:22:03,51,1,0,0,0,0,0
12-02-2004 04:58:07,52,1,0,0,0,0,0
16-02-2004 03:09:03,53,1,0,0,0,0,0
17-02-2004 02:33:02,54,1,0,0,0,0,0
17-02-2004 11:12:52,55,1,0,0,0,0,0
17-02-2004 06:11:56,56,1,0,0,0,0,0
26-02-2004 08:58:57,57,1,0,0,0,0,0
27-02-2004 09:41:45,58,2,2,0,2,0,0
29-02-2004 03:40:56,59,2,2,0,0,2,0
29-02-2004 04:24:36,60,2,2,0,0,2,0
29-02-2004 04:26:14,61,2,2,0,0,2,0
29-02-2004 04:48:02,62,3,0,2,0,0,0
04-03-2004 07:33:11,63,3,0,0,0,0,0
05-03-2004 08:58:45,64,3,0,0,0,0,0
05-03-2004 09:00:37,65,3,0,0,0,0,0
