Date, Evolution, Variabilities, TotalDependencies, DependenciesDeleted, DependenciesAdditions, DependenciesPreserved, DependenciesChanged
--,1,1,0,0,0,0,0
10-06-2008 03:26:12,2,1,0,0,0,0,0
10-06-2008 04:35:54,3,1,0,0,0,0,0
10-06-2008 05:11:14,4,1,0,0,0,0,0
10-06-2008 06:09:08,5,1,0,0,0,0,0
10-06-2008 06:14:28,6,1,0,0,0,0,0
10-06-2008 06:21:00,7,1,0,0,0,0,0
10-06-2008 08:37:26,8,1,0,0,0,0,0
10-06-2008 09:01:44,9,1,0,0,0,0,0
10-06-2008 12:20:30,10,1,0,0,0,0,0
10-06-2008 02:46:41,11,1,0,0,0,0,0
10-06-2008 02:47:26,12,1,0,0,0,0,0
10-06-2008 03:20:27,13,1,0,0,0,0,0
10-06-2008 03:21:58,14,1,0,0,0,0,0
10-06-2008 03:22:40,15,1,0,0,0,0,0
10-06-2008 03:24:51,16,1,0,0,0,0,0
10-06-2008 03:26:54,17,1,0,0,0,0,0
10-06-2008 03:35:20,18,1,0,0,0,0,0
10-06-2008 03:42:21,19,1,0,0,0,0,0
10-06-2008 03:44:51,20,1,0,0,0,0,0
11-06-2008 08:59:15,21,1,0,0,0,0,0
11-06-2008 10:32:23,22,1,0,0,0,0,0
12-06-2008 07:11:41,23,1,0,0,0,0,0
12-06-2008 07:16:09,24,1,0,0,0,0,0
12-06-2008 07:19:32,25,1,0,0,0,0,0
12-06-2008 07:21:09,26,1,0,0,0,0,0
12-06-2008 09:53:54,27,1,0,0,0,0,0
12-06-2008 10:06:56,28,1,0,0,0,0,0
12-06-2008 10:39:16,29,1,0,0,0,0,0
12-06-2008 10:42:16,30,1,0,0,0,0,0
12-06-2008 10:43:28,31,1,0,0,0,0,0
12-06-2008 11:14:56,32,1,0,0,0,0,0
12-06-2008 11:18:00,33,1,0,0,0,0,0
12-06-2008 02:55:24,34,1,0,0,0,0,0
12-06-2008 03:39:45,35,1,0,0,0,0,0
13-06-2008 12:21:56,36,1,0,0,0,0,0
13-06-2008 02:19:09,37,1,0,0,0,0,0
13-06-2008 02:39:13,38,1,0,0,0,0,0
14-06-2008 10:08:35,39,1,0,0,0,0,0
14-06-2008 10:16:42,40,1,0,0,0,0,0
14-06-2008 10:28:30,41,1,0,0,0,0,0
15-06-2008 03:23:37,42,1,0,0,0,0,0
15-06-2008 03:35:45,43,1,0,0,0,0,0
15-06-2008 04:03:37,44,1,0,0,0,0,0
16-06-2008 05:38:19,45,1,0,0,0,0,0
16-06-2008 10:59:31,46,1,0,0,0,0,0
16-06-2008 11:15:52,47,1,0,0,0,0,0
17-06-2008 06:13:56,48,1,0,0,0,0,0
17-06-2008 06:15:59,49,1,0,0,0,0,0
17-06-2008 06:22:49,50,1,0,0,0,0,0
17-06-2008 06:36:33,51,1,0,0,0,0,0
17-06-2008 01:06:39,52,1,0,0,0,0,0
17-06-2008 02:28:22,53,1,0,0,0,0,0
17-06-2008 02:41:06,54,1,0,0,0,0,0
18-06-2008 08:59:17,55,1,0,0,0,0,0
18-06-2008 09:03:59,56,1,0,0,0,0,0
19-06-2008 09:49:23,57,1,0,0,0,0,0
19-06-2008 11:00:25,58,1,0,0,0,0,0
19-06-2008 11:10:02,59,1,0,0,0,0,0
19-06-2008 02:42:30,60,1,0,0,0,0,0
20-06-2008 08:21:40,61,1,0,0,0,0,0
20-06-2008 10:10:43,62,1,0,0,0,0,0
20-06-2008 01:21:59,63,1,0,0,0,0,0
20-06-2008 03:10:05,64,1,0,0,0,0,0
20-06-2008 03:17:42,65,1,0,0,0,0,0
20-06-2008 03:31:02,66,1,0,0,0,0,0
21-06-2008 09:37:55,67,1,0,0,0,0,0
21-06-2008 09:49:37,68,1,0,0,0,0,0
21-06-2008 09:54:47,69,1,0,0,0,0,0
21-06-2008 10:15:08,70,1,0,0,0,0,0
22-06-2008 05:02:04,71,1,0,0,0,0,0
22-06-2008 05:15:13,72,1,0,0,0,0,0
22-06-2008 05:32:22,73,1,0,0,0,0,0
22-06-2008 05:37:40,74,1,0,0,0,0,0
22-06-2008 06:16:31,75,1,0,0,0,0,0
22-06-2008 06:20:19,76,1,0,0,0,0,0
23-06-2008 04:23:18,77,1,0,0,0,0,0
23-06-2008 04:56:07,78,1,0,0,0,0,0
23-06-2008 08:39:10,79,1,0,0,0,0,0
23-06-2008 09:02:12,80,1,0,0,0,0,0
23-06-2008 09:03:14,81,1,0,0,0,0,0
23-06-2008 10:49:28,82,1,0,0,0,0,0
23-06-2008 11:05:45,83,1,0,0,0,0,0
23-06-2008 04:08:18,84,1,0,0,0,0,0
24-06-2008 04:50:44,85,1,0,0,0,0,0
24-06-2008 07:18:56,86,1,0,0,0,0,0
25-06-2008 04:09:34,87,1,0,0,0,0,0
25-06-2008 06:16:11,88,1,0,0,0,0,0
25-06-2008 08:04:39,89,1,0,0,0,0,0
25-06-2008 08:49:58,90,1,0,0,0,0,0
25-06-2008 09:01:35,91,1,0,0,0,0,0
25-06-2008 09:03:35,92,1,0,0,0,0,0
25-06-2008 10:35:57,93,1,0,0,0,0,0
27-06-2008 02:27:15,94,1,0,0,0,0,0
27-06-2008 04:59:49,95,1,0,0,0,0,0
27-06-2008 05:10:25,96,1,0,0,0,0,0
27-06-2008 03:14:52,97,1,0,0,0,0,0
28-06-2008 05:35:05,98,1,0,0,0,0,0
28-06-2008 06:39:00,99,1,0,0,0,0,0
28-06-2008 07:28:18,100,1,0,0,0,0,0
28-06-2008 08:27:58,101,1,0,0,0,0,0
28-06-2008 09:54:59,102,1,0,0,0,0,0
02-07-2008 01:07:52,103,1,0,0,0,0,0
02-07-2008 02:46:38,104,1,0,0,0,0,0
02-07-2008 03:08:25,105,1,0,0,0,0,0
03-07-2008 08:41:17,106,1,0,0,0,0,0
03-07-2008 10:03:02,107,1,0,0,0,0,0
03-07-2008 10:33:30,108,1,0,0,0,0,0
07-07-2008 02:48:10,109,1,0,0,0,0,0
07-07-2008 02:56:48,110,1,0,0,0,0,0
07-07-2008 03:46:32,111,1,0,0,0,0,0
07-07-2008 04:03:24,112,1,0,0,0,0,0
08-07-2008 08:17:39,113,1,0,0,0,0,0
10-07-2008 06:15:58,114,1,0,0,0,0,0
16-07-2008 03:12:54,115,1,0,0,0,0,0
17-07-2008 07:05:37,116,1,0,0,0,0,0
17-07-2008 09:53:01,117,1,0,0,0,0,0
17-07-2008 02:32:57,118,1,0,0,0,0,0
18-07-2008 06:14:56,119,1,0,0,0,0,0
18-07-2008 06:17:55,120,1,0,0,0,0,0
18-07-2008 06:19:08,121,1,0,0,0,0,0
18-07-2008 06:21:17,122,1,0,0,0,0,0
18-07-2008 08:41:07,123,1,0,0,0,0,0
18-07-2008 09:09:52,124,1,0,0,0,0,0
19-07-2008 06:11:12,125,1,0,0,0,0,0
19-07-2008 06:13:21,126,1,0,0,0,0,0
19-07-2008 06:22:22,127,1,0,0,0,0,0
20-07-2008 10:01:38,128,1,0,0,0,0,0
22-07-2008 10:22:33,129,1,0,0,0,0,0
22-07-2008 10:24:11,130,1,0,0,0,0,0
22-07-2008 10:34:57,131,1,0,0,0,0,0
22-07-2008 11:22:27,132,1,0,0,0,0,0
22-07-2008 02:24:23,133,1,0,0,0,0,0
23-07-2008 09:47:28,134,1,0,0,0,0,0
23-07-2008 01:30:51,135,1,0,0,0,0,0
23-07-2008 01:31:40,136,1,0,0,0,0,0
24-07-2008 05:27:37,137,1,0,0,0,0,0
24-07-2008 05:38:59,138,1,0,0,0,0,0
24-07-2008 11:08:37,139,1,0,0,0,0,0
05-08-2008 07:23:29,140,1,0,0,0,0,0
05-08-2008 07:24:01,141,1,0,0,0,0,0
08-08-2008 01:37:31,142,1,0,0,0,0,0
10-08-2008 11:20:03,143,1,0,0,0,0,0
11-08-2008 06:14:40,144,1,0,0,0,0,0
12-08-2008 04:36:48,145,1,0,0,0,0,0
13-08-2008 06:11:44,146,1,0,0,0,0,0
14-08-2008 02:52:01,147,1,0,0,0,0,0
14-08-2008 03:08:00,148,1,0,0,0,0,0
16-08-2008 05:59:07,149,1,0,0,0,0,0
17-08-2008 10:16:41,150,1,0,0,0,0,0
17-08-2008 03:31:33,151,1,0,0,0,0,0
19-08-2008 04:35:06,152,1,0,0,0,0,0
19-08-2008 05:16:33,153,1,0,0,0,0,0
19-08-2008 05:23:33,154,1,0,0,0,0,0
19-08-2008 05:38:54,155,1,0,0,0,0,0
19-08-2008 01:02:44,156,1,0,0,0,0,0
19-08-2008 03:14:29,157,1,0,0,0,0,0
20-08-2008 04:13:34,158,1,0,0,0,0,0
20-08-2008 04:47:31,159,1,0,0,0,0,0
21-08-2008 05:23:39,160,1,0,0,0,0,0
22-08-2008 05:52:32,161,1,0,0,0,0,0
22-08-2008 05:56:39,162,1,0,0,0,0,0
22-08-2008 07:33:45,163,1,0,0,0,0,0
22-08-2008 07:41:08,164,1,0,0,0,0,0
25-08-2008 05:36:22,165,1,0,0,0,0,0
25-08-2008 05:37:34,166,1,0,0,0,0,0
25-08-2008 05:39:16,167,1,0,0,0,0,0
25-08-2008 04:15:48,168,1,0,0,0,0,0
26-08-2008 11:44:14,169,1,0,0,0,0,0
26-08-2008 11:57:40,170,1,0,0,0,0,0
26-08-2008 01:33:23,171,1,0,0,0,0,0
27-08-2008 06:33:21,172,1,0,0,0,0,0
27-08-2008 06:48:33,173,1,0,0,0,0,0
28-08-2008 06:42:03,174,1,0,0,0,0,0
28-08-2008 06:52:38,175,1,0,0,0,0,0
28-08-2008 06:58:37,176,1,0,0,0,0,0
05-09-2008 06:15:02,177,1,0,0,0,0,0
09-09-2008 06:17:25,178,1,0,0,0,0,0
09-09-2008 07:25:13,179,1,0,0,0,0,0
10-09-2008 02:43:17,180,1,0,0,0,0,0
12-09-2008 11:08:50,181,1,0,0,0,0,0
13-09-2008 07:38:08,182,1,0,0,0,0,0
05-10-2008 02:40:22,183,1,0,0,0,0,0
07-10-2008 06:39:14,184,1,0,0,0,0,0
08-10-2008 11:26:26,185,1,0,0,0,0,0
17-10-2008 02:00:56,186,1,0,0,0,0,0
25-10-2008 10:28:50,187,1,0,0,0,0,0
25-10-2008 10:35:43,188,1,0,0,0,0,0
26-10-2008 04:17:06,189,1,0,0,0,0,0
26-11-2008 01:46:19,190,1,0,0,0,0,0
13-12-2008 02:55:02,191,1,0,0,0,0,0
13-12-2008 05:14:39,192,1,0,0,0,0,0
13-12-2008 05:24:55,193,1,0,0,0,0,0
06-01-2009 04:52:16,194,1,0,0,0,0,0
10-01-2009 01:17:29,195,1,0,0,0,0,0
10-01-2009 01:42:56,196,1,0,0,0,0,0
13-01-2009 11:45:50,197,1,0,0,0,0,0
18-01-2009 11:27:28,198,1,0,0,0,0,0
20-01-2009 01:14:58,199,1,0,0,0,0,0
20-01-2009 01:34:29,200,1,0,0,0,0,0
24-01-2009 10:22:18,201,1,0,0,0,0,0
27-01-2009 12:47:05,202,1,0,0,0,0,0
27-01-2009 12:55:56,203,1,0,0,0,0,0
27-01-2009 02:02:27,204,1,0,0,0,0,0
27-01-2009 02:17:11,205,1,0,0,0,0,0
29-01-2009 06:26:02,206,1,0,0,0,0,0
30-01-2009 07:22:13,207,1,0,0,0,0,0
30-01-2009 07:25:36,208,1,0,0,0,0,0
31-01-2009 07:21:25,209,1,0,0,0,0,0
31-01-2009 03:33:40,210,1,0,0,0,0,0
31-01-2009 03:39:48,211,1,0,0,0,0,0
01-02-2009 09:35:50,212,1,0,0,0,0,0
01-02-2009 09:40:54,213,1,0,0,0,0,0
01-02-2009 12:15:40,214,1,0,0,0,0,0
01-02-2009 12:18:49,215,1,0,0,0,0,0
04-02-2009 02:52:10,216,1,0,0,0,0,0
05-02-2009 02:35:21,217,1,0,0,0,0,0
06-02-2009 12:44:20,218,1,0,0,0,0,0
07-02-2009 03:51:02,219,1,0,0,0,0,0
12-02-2009 06:16:48,220,1,0,0,0,0,0
12-02-2009 12:42:03,221,1,0,0,0,0,0
12-02-2009 12:44:56,222,1,0,0,0,0,0
16-02-2009 10:11:36,223,1,0,0,0,0,0
01-03-2009 10:03:08,224,1,0,0,0,0,0
01-03-2009 10:12:19,225,1,0,0,0,0,0
01-03-2009 10:14:11,226,1,0,0,0,0,0
04-03-2009 05:25:16,227,1,0,0,0,0,0
04-03-2009 12:20:39,228,1,0,0,0,0,0
05-03-2009 05:10:27,229,1,0,0,0,0,0
05-03-2009 02:57:22,230,1,0,0,0,0,0
08-03-2009 07:25:36,231,1,0,0,0,0,0
09-03-2009 05:13:01,232,1,0,0,0,0,0
13-03-2009 07:36:14,233,1,0,0,0,0,0
14-03-2009 11:57:11,234,1,0,0,0,0,0
26-03-2009 04:36:50,235,1,0,0,0,0,0
27-03-2009 02:15:29,236,1,0,0,0,0,0
04-04-2009 09:26:12,237,1,0,0,0,0,0
04-04-2009 09:27:53,238,1,0,0,0,0,0
04-04-2009 09:52:53,239,1,0,0,0,0,0
07-04-2009 08:06:36,240,1,0,0,0,0,0
07-04-2009 04:48:52,241,1,0,0,0,0,0
07-04-2009 04:49:46,242,1,0,0,0,0,0
08-04-2009 05:49:38,243,1,0,0,0,0,0
08-04-2009 11:21:47,244,1,0,0,0,0,0
10-04-2009 08:32:16,245,1,0,0,0,0,0
11-04-2009 06:05:51,246,1,0,0,0,0,0
11-04-2009 09:21:51,247,1,0,0,0,0,0
11-04-2009 09:31:16,248,1,0,0,0,0,0
13-04-2009 08:25:15,249,1,0,0,0,0,0
18-04-2009 04:30:59,250,1,0,0,0,0,0
03-05-2009 01:54:27,251,1,0,0,0,0,0
