Date, Evolution, Variabilities, TotalDependencies, DependenciesDeleted, DependenciesAdditions, DependenciesPreserved, DependenciesChanged
--,1,3,2,0,2,0,0
13-04-2007 06:24:41,2,3,2,0,0,2,0
13-04-2007 06:26:37,3,3,2,0,0,2,0
13-04-2007 06:26:56,4,3,2,0,0,2,0
13-04-2007 06:29:51,5,3,2,0,0,2,0
13-04-2007 06:48:08,6,3,2,0,0,2,0
13-04-2007 06:48:55,7,3,2,0,0,2,0
13-04-2007 06:59:12,8,3,2,0,0,2,0
13-04-2007 06:59:27,9,3,2,0,0,2,0
13-04-2007 07:12:56,10,3,2,0,0,2,0
13-04-2007 07:19:51,11,3,2,0,0,2,0
13-04-2007 07:20:58,12,3,2,0,0,2,0
13-04-2007 07:21:29,13,3,2,0,0,2,0
13-04-2007 07:22:38,14,3,2,0,0,2,0
13-04-2007 07:28:16,15,3,2,0,0,2,0
13-04-2007 07:31:04,16,3,2,0,0,2,0
13-04-2007 07:31:09,17,3,2,0,0,2,0
13-04-2007 07:31:14,18,3,2,0,0,2,0
13-04-2007 07:34:58,19,3,2,0,0,2,0
13-04-2007 07:35:57,20,3,2,0,0,2,0
13-04-2007 07:36:25,21,3,2,0,0,2,0
13-04-2007 07:37:03,22,3,2,0,0,2,0
13-04-2007 07:37:06,23,3,2,0,0,2,0
13-04-2007 07:37:07,24,3,2,0,0,2,0
13-04-2007 07:37:10,25,3,2,0,0,2,0
13-04-2007 07:37:11,26,3,2,0,0,2,0
13-04-2007 07:37:28,27,3,2,0,0,2,0
13-04-2007 07:37:44,28,3,2,0,0,2,0
13-04-2007 07:37:49,29,3,2,0,0,2,0
13-04-2007 07:40:08,30,3,2,0,0,2,0
13-04-2007 07:40:24,31,3,2,0,0,2,0
13-04-2007 07:40:27,32,3,2,0,0,2,0
13-04-2007 07:40:35,33,3,2,0,0,2,0
13-04-2007 07:40:45,34,3,2,0,0,2,0
13-04-2007 07:40:56,35,3,2,0,0,2,0
13-04-2007 07:40:59,36,3,2,0,0,2,0
13-04-2007 07:41:01,37,3,2,0,0,2,0
13-04-2007 07:41:03,38,3,2,0,0,2,0
13-04-2007 07:41:06,39,3,2,0,0,2,0
13-04-2007 07:41:08,40,3,2,0,0,2,0
13-04-2007 07:41:10,41,3,2,0,0,2,0
13-04-2007 07:41:11,42,3,2,0,0,2,0
13-04-2007 07:41:21,43,3,2,0,0,2,0
13-04-2007 07:41:23,44,3,2,0,0,2,0
13-04-2007 07:41:25,45,3,2,0,0,2,0
13-04-2007 07:41:30,46,3,2,0,0,2,0
13-04-2007 07:41:35,47,3,2,0,0,2,0
13-04-2007 07:41:40,48,3,2,0,0,2,0
13-04-2007 07:41:52,49,3,2,0,0,2,0
13-04-2007 07:41:57,50,3,2,0,0,2,0
13-04-2007 07:42:00,51,3,2,0,0,2,0
13-04-2007 07:42:01,52,3,2,0,0,2,0
13-04-2007 07:42:04,53,3,2,0,0,2,0
13-04-2007 07:42:27,54,3,2,0,0,2,0
13-04-2007 07:43:09,55,3,2,0,0,2,0
13-04-2007 07:43:41,56,3,2,0,0,2,0
13-04-2007 07:43:50,57,3,2,0,0,2,0
13-04-2007 07:43:52,58,3,2,0,0,2,0
13-04-2007 07:44:16,59,3,2,0,0,2,0
13-04-2007 07:45:27,60,3,2,0,0,2,0
13-04-2007 07:45:39,61,3,2,0,0,2,0
13-04-2007 07:45:41,62,3,2,0,0,2,0
13-04-2007 07:45:43,63,3,2,0,0,2,0
13-04-2007 07:45:56,64,3,2,0,0,2,0
13-04-2007 07:46:14,65,3,2,0,0,2,0
13-04-2007 07:46:23,66,3,2,0,0,2,0
13-04-2007 07:46:41,67,3,2,0,0,2,0
13-04-2007 07:47:12,68,3,2,0,0,2,0
13-04-2007 07:47:16,69,3,2,0,0,2,0
13-04-2007 07:47:21,70,3,2,0,0,2,0
13-04-2007 07:47:28,71,3,2,0,0,2,0
13-04-2007 07:47:30,72,3,2,0,0,2,0
13-04-2007 07:47:59,73,3,2,0,0,2,0
13-04-2007 07:48:21,74,3,2,0,0,2,0
13-04-2007 07:48:30,75,3,2,0,0,2,0
13-04-2007 07:48:37,76,3,2,0,0,2,0
13-04-2007 07:48:42,77,3,2,0,0,2,0
