!def(FEAT_MBYTE),def(FEAT_MBYTE)
!def(FEAT_BEVAL),True
!def(FEAT_MBYTE),True
True,(!def(FEAT_BEVAL)&def(WSDEBUG))
!def(EBCDIC),True
def(EBCDIC),True
True,def(WSDEBUG)
True,def(FEAT_MBYTE)
def(FEAT_GUI),True
(!def(FEAT_BEVAL)&def(WSDEBUG)),True
True,def(NBDEBUG)
True,!def(RISCOS)
def(FEAT_FKMAP),True
def(FEAT_MBYTE),True
!def(RISCOS),True
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),True
True,!def(FEAT_BEVAL)
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),True
!def(NO_CONSOLE),True
True,(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE))
