!def(FEAT_MBYTE),def(FEAT_MBYTE)
!def(EBCDIC),def(FEAT_MBYTE)
def(FEAT_MBYTE),True
(!def(FEAT_BEVAL)&def(WSDEBUG)),True
True,(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE))
True,def(FEAT_MBYTE)
def(RISCOS),True
!def(RISCOS),True
True,def(FEAT_FKMAP)
True,!def(FEAT_BEVAL)
def(FEAT_FKMAP),def(FEAT_MBYTE)
True,(!def(FEAT_BEVAL)&def(WSDEBUG))
!def(FEAT_BEVAL),True
def(FEAT_GUI),True
!def(NO_CONSOLE),True
True,def(NBDEBUG)
True,!def(RISCOS)
def(FEAT_FKMAP),True
True,def(WSDEBUG)
True,def(RISCOS)
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),True
!def(FEAT_MBYTE),True
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),True
def(EBCDIC),def(FEAT_MBYTE)
