!def(INET_SOCKETS),def(INET_SOCKETS)
!def(RISCOS),True
True,def(RISCOS)
True,!def(FEAT_BEVAL)
def(INET_SOCKETS),True
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),True
True,!def(RISCOS)
True,(!def(FEAT_BEVAL)&def(WSDEBUG))
!def(FEAT_BEVAL),True
!def(FEAT_MBYTE),def(FEAT_MBYTE)
def(FEAT_MBYTE),True
True,(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE))
!def(INET_SOCKETS),True
!def(NO_CONSOLE),True
def(EBCDIC),def(FEAT_MBYTE)
def(RISCOS),True
True,def(NBDEBUG)
True,def(WSDEBUG)
def(FEAT_FKMAP),def(FEAT_MBYTE)
!def(FEAT_MBYTE),True
def(FEAT_GUI),True
True,def(FEAT_FKMAP)
!def(EBCDIC),def(FEAT_MBYTE)
True,def(FEAT_MBYTE)
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),True
def(FEAT_FKMAP),True
(!def(FEAT_BEVAL)&def(WSDEBUG)),True
