!def(FEAT_MBYTE),def(FEAT_MBYTE)
True,(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE))
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),True
def(FEAT_FKMAP),def(FEAT_MBYTE)
def(RISCOS),True
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),True
!def(FEAT_BEVAL),True
def(FEAT_FKMAP),True
!def(FEAT_MBYTE),True
!def(EBCDIC),def(FEAT_MBYTE)
True,def(RISCOS)
True,def(FEAT_FKMAP)
def(FEAT_GUI),True
True,def(WSDEBUG)
!def(RISCOS),True
!def(NO_CONSOLE),True
def(EBCDIC),def(FEAT_MBYTE)
!def(INET_SOCKETS),True
(!def(FEAT_BEVAL)&def(WSDEBUG)),True
True,!def(RISCOS)
True,def(NBDEBUG)
True,(!def(FEAT_BEVAL)&def(WSDEBUG))
!def(INET_SOCKETS),def(INET_SOCKETS)
True,def(FEAT_MBYTE)
def(INET_SOCKETS),True
True,!def(FEAT_BEVAL)
def(FEAT_MBYTE),True
