!def(EBCDIC),def(FEAT_MBYTE)
True,!def(RISCOS)
True,(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE))
!def(RISCOS),True
True,def(WSDEBUG)
!def(INET_SOCKETS),def(INET_SOCKETS)
def(EBCDIC),def(FEAT_MBYTE)
(!def(FEAT_BEVAL)&def(WSDEBUG)),True
True,def(NBDEBUG)
!def(NO_CONSOLE),True
!def(FEAT_MBYTE),True
True,def(RISCOS)
!def(FEAT_BEVAL),True
True,def(FEAT_MBYTE)
def(FEAT_FKMAP),True
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),True
!def(INET_SOCKETS),True
True,(!def(FEAT_BEVAL)&def(WSDEBUG))
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),True
def(INET_SOCKETS),True
def(FEAT_FKMAP),def(FEAT_MBYTE)
!def(FEAT_MBYTE),def(FEAT_MBYTE)
def(FEAT_GUI),True
True,!def(FEAT_BEVAL)
def(FEAT_MBYTE),True
def(RISCOS),True
True,def(FEAT_FKMAP)
