!def(INET_SOCKETS),def(INET_SOCKETS)
!def(FEAT_BEVAL),True
True,def(WSDEBUG)
def(EBCDIC),True
def(FEAT_FKMAP),True
True,def(FEAT_FKMAP)
True,(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE))
True,!def(RISCOS)
True,(!def(FEAT_BEVAL)&def(WSDEBUG))
True,def(FEAT_MBYTE)
!def(NO_CONSOLE),True
(!def(FEAT_BEVAL)&def(WSDEBUG)),True
def(FEAT_GUI),True
!def(FEAT_MBYTE),True
True,def(RISCOS)
!def(RISCOS),True
!def(INET_SOCKETS),True
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),True
True,!def(FEAT_MBYTE)
def(FEAT_MBYTE),True
def(INET_SOCKETS),True
!def(FEAT_MBYTE),def(FEAT_MBYTE)
True,def(NBDEBUG)
def(RISCOS),True
True,!def(FEAT_BEVAL)
!def(EBCDIC),True
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),True
